Pmin[MeVfm**(-3)]	Pmax[MeVfm**(-3)]	etotmin[MeVfm**(-3)]	etotmax[MeVfm**(-3)]	nbmin[fm**(-3)]	nbmax[fm**(-3)]	A	Z	N	Z/A	mu_bmin[MeV]	mu_bmax[MeV]	mu_emin[MeV]	mu_emax[MeV]
6.082e-15	3.549e-07	2.986e-03	5.776e-03	3.210e-06	6.209e-06	56	26	30	0.464	930.333	930.406	0.617	0.842
3.554e-07	1.412e-05	6.004e-03	2.490e-02	6.453e-06	2.676e-05	62	28	34	0.452	930.406	931.211	0.848	2.854
1.414e-05	3.535e-05	2.640e-02	4.028e-02	2.837e-05	4.327e-05	88	38	50	0.432	931.212	931.804	2.892	4.371
3.541e-05	9.131e-05	4.151e-02	6.519e-02	4.458e-05	6.998e-05	86	36	50	0.419	931.805	932.780	4.366	6.825
9.144e-05	1.874e-04	6.738e-02	9.545e-02	7.233e-05	1.024e-04	84	34	50	0.405	932.782	933.880	6.821	9.644
1.877e-04	2.802e-04	9.897e-02	1.204e-01	1.062e-04	1.291e-04	82	32	50	0.390	933.882	934.669	9.640	11.720
2.806e-04	4.189e-04	1.252e-01	1.523e-01	1.342e-04	1.632e-04	132	50	82	0.379	934.672	935.602	11.822	14.371
4.195e-04	5.896e-04	1.604e-01	1.896e-01	1.719e-04	2.031e-04	128	46	82	0.359	935.606	936.513	14.361	16.965
5.905e-04	7.541e-04	1.952e-01	2.202e-01	2.090e-04	2.357e-04	126	44	82	0.349	936.517	937.253	16.966	19.132
7.552e-04	9.255e-04	2.271e-01	2.511e-01	2.431e-04	2.687e-04	124	42	82	0.339	937.257	937.923	19.134	21.149
9.269e-04	1.129e-03	2.594e-01	2.861e-01	2.776e-04	3.060e-04	122	40	82	0.328	937.928	938.621	21.152	23.314
1.131e-03	1.374e-03	2.963e-01	3.263e-01	3.169e-04	3.488e-04	120	38	82	0.317	938.627	939.356	23.318	25.669
1.376e-03	1.448e-03	3.388e-01	3.476e-01	3.621e-04	3.715e-04	118	36	82	0.305	939.362	939.560	25.674	26.337
