Pmin[MeVfm**(-3)]	Pmax[MeVfm**(-3)]	etotmin[MeVfm**(-3)]	etotmax[MeVfm**(-3)]	nbmin[fm**(-3)]	nbmax[fm**(-3)]	A	Z	N	Z/A	mu_bmin[MeV]	mu_bmax[MeV]	mu_emin[MeV]	mu_emax[MeV]
6.082e-15	3.388e-10	5.857e-09	4.615e-06	6.295e-12	4.960e-09	56	26	30	0.464	930.414	930.603	0.518	0.954
3.393e-10	4.160e-08	4.758e-06	1.470e-04	5.113e-09	1.579e-07	62	28	34	0.452	930.604	931.306	0.955	2.583
4.166e-08	4.393e-08	1.480e-04	1.539e-04	1.590e-07	1.653e-07	58	26	32	0.448	931.306	931.320	2.582	2.615
4.400e-08	3.565e-07	1.582e-04	7.466e-04	1.699e-07	8.015e-07	64	28	36	0.438	931.321	932.040	2.617	4.335
3.570e-07	4.137e-07	7.708e-04	8.603e-04	8.274e-07	9.234e-07	66	28	38	0.424	932.041	932.106	4.337	4.496
4.143e-07	1.028e-06	8.782e-04	1.731e-03	9.426e-07	1.857e-06	86	36	50	0.419	932.107	932.556	4.507	5.637
1.030e-06	5.572e-06	1.790e-03	6.332e-03	1.920e-06	6.788e-06	84	34	50	0.405	932.557	933.686	5.636	8.565
5.581e-06	1.766e-05	6.566e-03	1.557e-02	7.038e-06	1.668e-05	82	32	50	0.390	933.687	934.747	8.564	11.410
1.769e-05	3.583e-05	1.620e-02	2.751e-02	1.735e-05	2.944e-05	80	30	50	0.375	934.748	935.535	11.408	13.603
3.588e-05	1.099e-04	2.873e-02	6.658e-02	3.074e-05	7.117e-05	78	28	50	0.359	935.537	937.045	13.601	17.987
1.101e-04	1.168e-04	6.932e-02	7.246e-02	7.410e-05	7.744e-05	126	44	82	0.349	937.047	937.136	18.063	18.331
1.170e-04	1.828e-04	7.469e-02	1.044e-01	7.982e-05	1.116e-04	124	42	82	0.339	937.138	937.830	18.329	20.491
1.830e-04	2.810e-04	1.079e-01	1.488e-01	1.152e-04	1.589e-04	122	40	82	0.328	937.832	938.551	20.489	22.805
2.814e-04	4.276e-04	1.541e-01	2.110e-01	1.645e-04	2.251e-04	120	38	82	0.317	938.554	939.309	22.803	25.316
4.283e-04	4.905e-04	2.189e-01	2.424e-01	2.335e-04	2.585e-04	118	36	82	0.305	939.312	939.564	25.313	26.185
