rmin[km]	rmax[km]	DRlayer[km]	DRlayer_DRcr	zlayer[km]	zlayer_zdrip	Mblayer[solarmass]	Mblayer_Mbcr	Mlayer[solarmass]	Mlayer_Mcr	DNlayer	DNlayer_DN
12.495	12.500	4.892e-03	1.030e-02	0.006	1.025e-02	2.855e-08	3.435e-04	2.336e-08	3.458e-04	3.390e+49	3.435e-04
12.448	12.495	4.755e-02	1.001e-01	0.064	1.099e-01	1.016e-06	1.222e-02	8.306e-07	1.230e-02	1.206e+51	1.222e-02
12.444	12.448	3.257e-03	6.856e-03	0.068	1.169e-01	1.161e-07	1.397e-03	9.490e-08	1.405e-03	1.379e+50	1.397e-03
12.424	12.444	1.989e-02	4.187e-02	0.093	1.587e-01	8.521e-07	1.025e-02	6.962e-07	1.031e-02	1.012e+51	1.025e-02
12.372	12.424	5.179e-02	1.090e-01	0.156	2.675e-01	3.341e-06	4.019e-02	2.728e-06	4.038e-02	3.967e+51	4.019e-02
12.315	12.372	5.761e-02	1.213e-01	0.227	3.888e-01	5.709e-06	6.867e-02	4.655e-06	6.892e-02	6.778e+51	6.867e-02
12.261	12.315	5.328e-02	1.121e-01	0.292	5.012e-01	7.327e-06	8.814e-02	5.969e-06	8.836e-02	8.699e+51	8.814e-02
12.222	12.261	3.894e-02	8.197e-02	0.340	5.835e-01	6.780e-06	8.156e-02	5.517e-06	8.167e-02	8.049e+51	8.156e-02
12.174	12.222	4.766e-02	1.003e-01	0.399	6.844e-01	1.018e-05	1.225e-01	8.277e-06	1.225e-01	1.209e+52	1.225e-01
12.142	12.174	3.167e-02	6.667e-02	0.439	7.517e-01	7.971e-06	9.589e-02	6.475e-06	9.586e-02	9.463e+51	9.589e-02
12.109	12.142	3.347e-02	7.046e-02	0.480	8.228e-01	9.589e-06	1.154e-01	7.784e-06	1.152e-01	1.138e+52	1.154e-01
12.074	12.109	3.442e-02	7.246e-02	0.523	8.960e-01	1.122e-05	1.350e-01	9.101e-06	1.347e-01	1.332e+52	1.350e-01
12.038	12.074	3.597e-02	7.572e-02	0.568	9.726e-01	1.333e-05	1.604e-01	1.081e-05	1.600e-01	1.583e+52	1.604e-01
12.025	12.038	1.266e-02	2.665e-02	0.584	1.000e+00	5.181e-06	6.233e-02	4.198e-06	6.214e-02	6.151e+51	6.233e-02
