rmin[km]	rmax[km]	DRlayer[km]	DRlayer_DRcr	zlayer[km]	zlayer_zdrip	Mblayer[solarmass]	Mblayer_Mbcr	Mlayer[solarmass]	Mlayer_Mcr	DNlayer	DNlayer_DN
12.490	12.500	1.027e-02	2.177e-02	0.013	2.167e-02	3.676e-11	7.895e-07	3.006e-11	7.956e-07	4.364e+46	7.895e-07
12.452	12.490	3.794e-02	8.043e-02	0.059	1.018e-01	4.432e-09	9.520e-05	3.623e-09	9.590e-05	5.262e+48	9.520e-05
12.451	12.452	7.507e-04	1.591e-03	0.060	1.034e-01	2.421e-10	5.201e-06	1.979e-10	5.238e-06	2.875e+47	5.201e-06
12.412	12.451	3.854e-02	8.171e-02	0.107	1.849e-01	3.315e-08	7.121e-04	2.708e-08	7.168e-04	3.936e+49	7.121e-04
12.409	12.412	3.452e-03	7.318e-03	0.111	1.923e-01	5.977e-09	1.284e-04	4.881e-09	1.292e-04	7.096e+48	1.284e-04
12.385	12.409	2.389e-02	5.064e-02	0.141	2.428e-01	6.443e-08	1.384e-03	5.260e-08	1.392e-03	7.649e+49	1.384e-03
12.326	12.385	5.945e-02	1.260e-01	0.214	3.687e-01	4.691e-07	1.008e-02	3.826e-07	1.013e-02	5.569e+50	1.008e-02
12.270	12.325	5.507e-02	1.168e-01	0.281	4.855e-01	1.224e-06	2.629e-02	9.970e-07	2.639e-02	1.453e+51	2.629e-02
12.230	12.270	4.047e-02	8.580e-02	0.331	5.715e-01	1.808e-06	3.883e-02	1.471e-06	3.894e-02	2.146e+51	3.883e-02
12.153	12.230	7.654e-02	1.623e-01	0.425	7.342e-01	7.222e-06	1.551e-01	5.870e-06	1.554e-01	8.574e+51	1.551e-01
12.149	12.153	4.434e-03	9.400e-03	0.431	7.439e-01	6.434e-07	1.382e-02	5.226e-07	1.383e-02	7.639e+50	1.382e-02
12.114	12.149	3.464e-02	7.343e-02	0.474	8.177e-01	6.292e-06	1.351e-01	5.108e-06	1.352e-01	7.470e+51	1.351e-01
12.078	12.114	3.570e-02	7.568e-02	0.518	8.939e-01	9.251e-06	1.987e-01	7.505e-06	1.986e-01	1.098e+52	1.987e-01
12.041	12.078	3.717e-02	7.879e-02	0.564	9.733e-01	1.363e-05	2.927e-01	1.105e-05	2.924e-01	1.618e+52	2.927e-01
12.028	12.041	1.238e-02	2.624e-02	0.579	1.000e+00	5.745e-06	1.234e-01	4.655e-06	1.232e-01	6.820e+51	1.234e-01
