rmin[km]	rmax[km]	DRlayer[km]	DRlayer_DRcr	zlayer[km]	zlayer_zdrip	Mblayer[solarmass]	Mblayer_Mbcr	Mlayer[solarmass]	Mlayer_Mcr	DNlayer	DNlayer_DN
12.496	12.500	4.374e-03	9.201e-03	0.005	9.157e-03	3.409e-08	3.054e-04	2.788e-08	3.074e-04	4.047e+49	3.054e-04
12.450	12.496	4.596e-02	9.667e-02	0.062	1.054e-01	1.287e-06	1.153e-02	1.052e-06	1.160e-02	1.528e+51	1.153e-02
12.422	12.450	2.723e-02	5.728e-02	0.095	1.626e-01	1.543e-06	1.382e-02	1.261e-06	1.390e-02	1.832e+51	1.382e-02
12.370	12.422	5.183e-02	1.090e-01	0.159	2.715e-01	4.583e-06	4.106e-02	3.742e-06	4.125e-02	5.441e+51	4.106e-02
12.313	12.370	5.758e-02	1.211e-01	0.229	3.926e-01	7.757e-06	6.950e-02	6.326e-06	6.974e-02	9.209e+51	6.950e-02
12.260	12.313	5.277e-02	1.110e-01	0.294	5.038e-01	9.812e-06	8.791e-02	7.992e-06	8.812e-02	1.165e+52	8.791e-02
12.253	12.260	6.395e-03	1.345e-02	0.302	5.176e-01	1.402e-06	1.256e-02	1.141e-06	1.258e-02	1.665e+51	1.256e-02
12.223	12.253	3.059e-02	6.435e-02	0.340	5.824e-01	7.245e-06	6.491e-02	5.895e-06	6.500e-02	8.601e+51	6.491e-02
12.178	12.222	4.465e-02	9.392e-02	0.395	6.768e-01	1.276e-05	1.144e-01	1.038e-05	1.144e-01	1.515e+52	1.144e-01
12.140	12.178	3.722e-02	7.829e-02	0.441	7.557e-01	1.254e-05	1.123e-01	1.019e-05	1.123e-01	1.489e+52	1.123e-01
12.107	12.140	3.327e-02	6.998e-02	0.483	8.264e-01	1.285e-05	1.151e-01	1.043e-05	1.150e-01	1.526e+52	1.151e-01
12.072	12.107	3.442e-02	7.240e-02	0.525	8.996e-01	1.511e-05	1.354e-01	1.226e-05	1.351e-01	1.794e+52	1.354e-01
12.036	12.072	3.566e-02	7.500e-02	0.570	9.755e-01	1.778e-05	1.593e-01	1.441e-05	1.589e-01	2.111e+52	1.593e-01
12.025	12.036	1.133e-02	2.383e-02	0.584	1.000e+00	6.222e-06	5.574e-02	5.041e-06	5.557e-02	7.386e+51	5.574e-02
