Pmin[MeVfm**(-3)]	Pmax[MeVfm**(-3)]	etotmin[MeVfm**(-3)]	etotmax[MeVfm**(-3)]	nbmin[fm**(-3)]	nbmax[fm**(-3)]	A	Z	N	Z/A	mu_bmin[MeV]	mu_bmax[MeV]	mu_emin[MeV]	mu_emax[MeV]
6.082e-15	3.136e-07	2.271e-03	4.693e-03	2.441e-06	5.044e-06	56	26	30	0.464	930.340	930.420	0.608	0.851
3.141e-07	1.227e-05	4.872e-03	2.061e-02	5.237e-06	2.215e-05	62	28	34	0.452	930.420	931.271	0.856	2.949
1.229e-05	2.680e-05	2.182e-02	3.130e-02	2.345e-05	3.362e-05	88	38	50	0.432	931.271	931.779	2.985	4.248
2.684e-05	7.056e-05	3.226e-02	5.115e-02	3.465e-05	5.492e-05	86	36	50	0.419	931.781	932.756	4.243	6.696
7.066e-05	1.461e-04	5.288e-02	7.526e-02	5.676e-05	8.074e-05	84	34	50	0.405	932.758	933.855	6.692	9.505
1.463e-04	2.436e-04	7.804e-02	1.002e-01	8.372e-05	1.074e-04	82	32	50	0.390	933.857	934.875	9.502	12.188
2.439e-04	2.580e-04	1.041e-01	1.069e-01	1.116e-04	1.147e-04	132	50	82	0.379	934.878	935.002	12.283	12.623
2.584e-04	3.314e-04	1.073e-01	1.213e-01	1.150e-04	1.300e-04	80	30	50	0.375	935.006	935.602	12.534	14.163
3.319e-04	4.624e-04	1.274e-01	1.500e-01	1.365e-04	1.606e-04	128	46	82	0.359	935.606	936.484	14.257	16.773
4.631e-04	5.931e-04	1.544e-01	1.744e-01	1.653e-04	1.867e-04	126	44	82	0.349	936.488	937.227	16.774	18.945
5.940e-04	7.290e-04	1.799e-01	1.991e-01	1.926e-04	2.130e-04	124	42	82	0.339	937.231	937.897	18.948	20.960
7.301e-04	8.907e-04	2.057e-01	2.270e-01	2.201e-04	2.428e-04	122	40	82	0.328	937.902	938.596	20.964	23.126
8.920e-04	1.084e-03	2.351e-01	2.590e-01	2.515e-04	2.768e-04	120	38	82	0.317	938.601	939.326	23.130	25.464
1.085e-03	1.153e-03	2.689e-01	2.771e-01	2.874e-04	2.961e-04	118	36	82	0.305	939.332	939.564	25.470	26.242
