rmin[km]	rmax[km]	DRlayer[km]	DRlayer_DRcr	zlayer[km]	zlayer_zdrip	Mblayer[solarmass]	Mblayer_Mbcr	Mlayer[solarmass]	Mlayer_Mcr	DNlayer	DNlayer_DN
12.495	12.500	4.892e-03	1.030e-02	0.006	1.025e-02	2.855e-08	3.450e-04	2.336e-08	3.473e-04	3.390e+49	3.450e-04
12.448	12.495	4.755e-02	1.001e-01	0.064	1.099e-01	1.016e-06	1.228e-02	8.306e-07	1.235e-02	1.206e+51	1.228e-02
12.444	12.448	3.257e-03	6.856e-03	0.068	1.168e-01	1.161e-07	1.403e-03	9.490e-08	1.411e-03	1.379e+50	1.403e-03
12.424	12.444	1.989e-02	4.186e-02	0.093	1.587e-01	8.521e-07	1.029e-02	6.962e-07	1.035e-02	1.012e+51	1.029e-02
12.372	12.424	5.179e-02	1.090e-01	0.156	2.675e-01	3.341e-06	4.037e-02	2.728e-06	4.056e-02	3.967e+51	4.037e-02
12.315	12.372	5.761e-02	1.213e-01	0.227	3.888e-01	5.709e-06	6.897e-02	4.655e-06	6.922e-02	6.778e+51	6.897e-02
12.261	12.315	5.328e-02	1.121e-01	0.292	5.012e-01	7.327e-06	8.853e-02	5.969e-06	8.874e-02	8.699e+51	8.853e-02
12.213	12.261	4.811e-02	1.013e-01	0.352	6.028e-01	8.528e-06	1.030e-01	6.939e-06	1.032e-01	1.012e+52	1.030e-01
12.172	12.213	4.130e-02	8.694e-02	0.403	6.903e-01	9.038e-06	1.092e-01	7.347e-06	1.092e-01	1.073e+52	1.092e-01
12.138	12.171	3.287e-02	6.920e-02	0.444	7.601e-01	8.355e-06	1.009e-01	6.787e-06	1.009e-01	9.919e+51	1.009e-01
12.104	12.138	3.460e-02	7.282e-02	0.486	8.337e-01	1.003e-05	1.212e-01	8.144e-06	1.211e-01	1.191e+52	1.212e-01
12.066	12.103	3.729e-02	7.850e-02	0.533	9.130e-01	1.236e-05	1.493e-01	1.002e-05	1.490e-01	1.467e+52	1.493e-01
12.042	12.066	2.342e-02	4.929e-02	0.562	9.631e-01	8.702e-06	1.051e-01	7.053e-06	1.049e-01	1.033e+52	1.051e-01
12.031	12.042	1.163e-02	2.447e-02	0.577	9.882e-01	4.595e-06	5.551e-02	3.723e-06	5.535e-02	5.455e+51	5.551e-02
12.025	12.030	5.286e-03	1.113e-02	0.584	1.000e+00	2.170e-06	2.622e-02	1.758e-06	2.614e-02	2.577e+51	2.622e-02
