rmin[km]	rmax[km]	DRlayer[km]	DRlayer_DRcr	zlayer[km]	zlayer_zdrip	Mblayer[solarmass]	Mblayer_Mbcr	Mlayer[solarmass]	Mlayer_Mcr	DNlayer	DNlayer_DN
12.490	12.500	1.027e-02	2.177e-02	0.013	2.167e-02	3.676e-11	7.966e-07	3.006e-11	8.026e-07	4.364e+46	7.966e-07
12.452	12.490	3.794e-02	8.043e-02	0.059	1.018e-01	4.432e-09	9.605e-05	3.623e-09	9.675e-05	5.262e+48	9.605e-05
12.451	12.452	7.507e-04	1.591e-03	0.060	1.034e-01	2.421e-10	5.248e-06	1.979e-10	5.284e-06	2.875e+47	5.248e-06
12.412	12.451	3.854e-02	8.171e-02	0.107	1.849e-01	3.315e-08	7.185e-04	2.708e-08	7.231e-04	3.936e+49	7.185e-04
12.409	12.412	3.452e-03	7.318e-03	0.111	1.922e-01	5.977e-09	1.295e-04	4.881e-09	1.303e-04	7.096e+48	1.295e-04
12.385	12.409	2.389e-02	5.063e-02	0.141	2.428e-01	6.443e-08	1.396e-03	5.260e-08	1.405e-03	7.649e+49	1.396e-03
12.326	12.385	5.945e-02	1.260e-01	0.214	3.687e-01	4.691e-07	1.017e-02	3.826e-07	1.022e-02	5.569e+50	1.017e-02
12.270	12.325	5.507e-02	1.167e-01	0.281	4.855e-01	1.224e-06	2.652e-02	9.970e-07	2.662e-02	1.453e+51	2.652e-02
12.201	12.270	6.980e-02	1.480e-01	0.367	6.337e-01	3.793e-06	8.221e-02	3.086e-06	8.241e-02	4.503e+51	8.221e-02
12.176	12.200	2.479e-02	5.254e-02	0.398	6.865e-01	2.355e-06	5.103e-02	1.914e-06	5.111e-02	2.796e+51	5.103e-02
12.145	12.176	3.097e-02	6.565e-02	0.436	7.525e-01	4.101e-06	8.887e-02	3.331e-06	8.895e-02	4.868e+51	8.887e-02
12.108	12.144	3.614e-02	7.661e-02	0.481	8.296e-01	6.848e-06	1.484e-01	5.559e-06	1.484e-01	8.130e+51	1.484e-01
12.070	12.108	3.845e-02	8.151e-02	0.528	9.117e-01	1.055e-05	2.286e-01	8.555e-06	2.284e-01	1.252e+52	2.286e-01
12.045	12.070	2.415e-02	5.119e-02	0.558	9.634e-01	8.918e-06	1.933e-01	7.229e-06	1.930e-01	1.059e+52	1.933e-01
12.034	12.045	1.162e-02	2.464e-02	0.573	9.884e-01	5.048e-06	1.094e-01	4.091e-06	1.092e-01	5.993e+51	1.094e-01
12.028	12.034	5.298e-03	1.123e-02	0.579	1.000e+00	2.505e-06	5.429e-02	2.030e-06	5.419e-02	2.974e+51	5.429e-02
