rmin[km]	rmax[km]	DRlayer[km]	DRlayer_DRcr	zlayer[km]	zlayer_zdrip	Mblayer[solarmass]	Mblayer_Mbcr	Mlayer[solarmass]	Mlayer_Mcr	DNlayer	DNlayer_DN
12.496	12.500	4.374e-03	9.202e-03	0.005	9.157e-03	3.409e-08	3.067e-04	2.788e-08	3.087e-04	4.047e+49	3.067e-04
12.450	12.496	4.596e-02	9.668e-02	0.062	1.054e-01	1.287e-06	1.158e-02	1.052e-06	1.165e-02	1.528e+51	1.158e-02
12.422	12.450	2.723e-02	5.729e-02	0.095	1.626e-01	1.543e-06	1.388e-02	1.261e-06	1.396e-02	1.832e+51	1.388e-02
12.370	12.422	5.183e-02	1.090e-01	0.159	2.715e-01	4.583e-06	4.124e-02	3.742e-06	4.143e-02	5.441e+51	4.124e-02
12.313	12.370	5.758e-02	1.211e-01	0.229	3.926e-01	7.757e-06	6.980e-02	6.326e-06	7.004e-02	9.209e+51	6.980e-02
12.260	12.313	5.277e-02	1.110e-01	0.294	5.038e-01	9.812e-06	8.829e-02	7.992e-06	8.850e-02	1.165e+52	8.829e-02
12.253	12.260	6.395e-03	1.345e-02	0.302	5.177e-01	1.402e-06	1.262e-02	1.141e-06	1.264e-02	1.665e+51	1.262e-02
12.221	12.253	3.174e-02	6.678e-02	0.341	5.848e-01	7.535e-06	6.780e-02	6.131e-06	6.789e-02	8.945e+51	6.780e-02
12.169	12.221	5.203e-02	1.095e-01	0.406	6.948e-01	1.512e-05	1.361e-01	1.230e-05	1.361e-01	1.795e+52	1.361e-01
12.136	12.169	3.250e-02	6.837e-02	0.446	7.638e-01	1.115e-05	1.003e-01	9.058e-06	1.003e-01	1.324e+52	1.003e-01
12.101	12.136	3.488e-02	7.338e-02	0.489	8.379e-01	1.364e-05	1.227e-01	1.107e-05	1.226e-01	1.619e+52	1.227e-01
12.064	12.101	3.706e-02	7.796e-02	0.535	9.167e-01	1.654e-05	1.488e-01	1.342e-05	1.486e-01	1.964e+52	1.488e-01
12.042	12.064	2.191e-02	4.609e-02	0.563	9.636e-01	1.094e-05	9.841e-02	8.864e-06	9.815e-02	1.298e+52	9.841e-02
12.030	12.042	1.138e-02	2.393e-02	0.577	9.882e-01	6.026e-06	5.422e-02	4.882e-06	5.406e-02	7.154e+51	5.422e-02
12.025	12.030	5.298e-03	1.115e-02	0.584	1.000e+00	2.914e-06	2.622e-02	2.360e-06	2.614e-02	3.459e+51	2.622e-02
