Pmin[MeVfm**(-3)]	Pmax[MeVfm**(-3)]	etotmin[MeVfm**(-3)]	etotmax[MeVfm**(-3)]	nbmin[fm**(-3)]	nbmax[fm**(-3)]	A	Z	N	Z/A	mu_bmin[MeV]	mu_bmax[MeV]	mu_emin[MeV]	mu_emax[MeV]
6.082e-15	3.388e-10	5.857e-09	4.615e-06	6.295e-12	4.960e-09	56	26	30	0.464	930.414	930.603	0.518	0.954
3.393e-10	4.160e-08	4.758e-06	1.470e-04	5.113e-09	1.579e-07	62	28	34	0.452	930.604	931.306	0.955	2.583
4.166e-08	4.393e-08	1.480e-04	1.539e-04	1.590e-07	1.653e-07	58	26	32	0.448	931.306	931.320	2.582	2.615
4.400e-08	3.565e-07	1.582e-04	7.466e-04	1.699e-07	8.015e-07	64	28	36	0.438	931.321	932.040	2.617	4.335
3.570e-07	4.137e-07	7.708e-04	8.603e-04	8.274e-07	9.234e-07	66	28	38	0.424	932.041	932.106	4.337	4.496
4.143e-07	1.028e-06	8.782e-04	1.731e-03	9.426e-07	1.857e-06	86	36	50	0.419	932.107	932.556	4.507	5.637
1.030e-06	5.572e-06	1.790e-03	6.332e-03	1.920e-06	6.788e-06	84	34	50	0.405	932.557	933.686	5.636	8.565
5.581e-06	1.766e-05	6.566e-03	1.557e-02	7.038e-06	1.668e-05	82	32	50	0.390	933.687	934.747	8.564	11.410
1.769e-05	5.598e-05	1.620e-02	3.846e-02	1.735e-05	4.114e-05	80	30	50	0.375	934.748	936.110	11.408	15.206
5.607e-05	8.020e-05	4.016e-02	5.255e-02	4.296e-05	5.619e-05	78	28	50	0.359	936.112	936.601	15.204	16.625
8.032e-05	1.228e-04	5.471e-02	7.524e-02	5.850e-05	8.041e-05	126	44	82	0.349	936.603	937.217	16.696	18.562
1.230e-04	1.947e-04	7.755e-02	1.095e-01	8.288e-05	1.170e-04	124	42	82	0.339	937.220	937.942	18.560	20.818
1.950e-04	3.070e-04	1.131e-01	1.591e-01	1.208e-04	1.698e-04	122	40	82	0.328	937.945	938.720	20.816	23.314
3.074e-04	4.032e-04	1.647e-01	2.018e-01	1.757e-04	2.153e-04	120	38	82	0.317	938.723	939.214	23.312	24.946
4.038e-04	4.583e-04	2.054e-01	2.260e-01	2.192e-04	2.410e-04	122	38	84	0.311	939.217	939.454	24.955	25.757
4.590e-04	4.861e-04	2.299e-01	2.401e-01	2.452e-04	2.560e-04	124	38	86	0.306	939.456	939.565	25.767	26.140
