rmin[km]	rmax[km]	DRlayer[km]	DRlayer_DRcr	zlayer[km]	zlayer_zdrip	Mblayer[solarmass]	Mblayer_Mbcr	Mlayer[solarmass]	Mlayer_Mcr	DNlayer	DNlayer_DN
12.496	12.500	3.955e-03	8.311e-03	0.005	8.272e-03	3.857e-08	2.727e-04	3.155e-08	2.745e-04	4.579e+49	2.727e-04
12.452	12.496	4.355e-02	9.154e-02	0.058	9.943e-02	1.482e-06	1.048e-02	1.211e-06	1.054e-02	1.759e+51	1.048e-02
12.421	12.452	3.172e-02	6.666e-02	0.097	1.659e-01	2.256e-06	1.595e-02	1.843e-06	1.604e-02	2.679e+51	1.595e-02
12.369	12.421	5.180e-02	1.089e-01	0.161	2.747e-01	5.857e-06	4.142e-02	4.781e-06	4.160e-02	6.954e+51	4.142e-02
12.311	12.369	5.762e-02	1.211e-01	0.231	3.958e-01	9.862e-06	6.973e-02	8.042e-06	6.997e-02	1.171e+52	6.973e-02
12.270	12.311	4.080e-02	8.576e-02	0.282	4.818e-01	9.347e-06	6.609e-02	7.614e-06	6.625e-02	1.110e+52	6.609e-02
12.217	12.270	5.287e-02	1.111e-01	0.347	5.933e-01	1.537e-05	1.087e-01	1.251e-05	1.088e-01	1.824e+52	1.087e-01
12.215	12.217	1.540e-03	3.237e-03	0.349	5.969e-01	5.081e-07	3.592e-03	4.133e-07	3.596e-03	6.032e+50	3.592e-03
12.161	12.215	5.422e-02	1.139e-01	0.416	7.114e-01	2.027e-05	1.433e-01	1.648e-05	1.434e-01	2.407e+52	1.433e-01
12.133	12.161	2.735e-02	5.748e-02	0.450	7.695e-01	1.197e-05	8.467e-02	9.725e-06	8.462e-02	1.422e+52	8.467e-02
12.132	12.133	1.180e-03	2.481e-03	0.451	7.725e-01	5.480e-07	3.875e-03	4.449e-07	3.871e-03	6.506e+50	3.875e-03
12.110	12.132	2.169e-02	4.558e-02	0.478	8.187e-01	1.057e-05	7.472e-02	8.578e-06	7.464e-02	1.255e+52	7.472e-02
12.108	12.110	1.962e-03	4.124e-03	0.481	8.234e-01	1.005e-06	7.109e-03	8.159e-07	7.099e-03	1.194e+51	7.109e-03
12.088	12.108	1.987e-02	4.176e-02	0.506	8.658e-01	1.071e-05	7.575e-02	8.692e-06	7.563e-02	1.272e+52	7.575e-02
12.062	12.088	2.531e-02	5.319e-02	0.538	9.197e-01	1.487e-05	1.051e-01	1.206e-05	1.049e-01	1.765e+52	1.051e-01
12.047	12.062	1.491e-02	3.134e-02	0.556	9.518e-01	9.455e-06	6.686e-02	7.664e-06	6.669e-02	1.123e+52	6.686e-02
12.046	12.047	7.904e-04	1.661e-03	0.558	9.540e-01	5.273e-07	3.728e-03	4.273e-07	3.718e-03	6.260e+50	3.728e-03
12.039	12.046	6.300e-03	1.324e-02	0.566	9.679e-01	4.310e-06	3.048e-02	3.493e-06	3.039e-02	5.117e+51	3.048e-02
12.038	12.039	1.564e-03	3.288e-03	0.568	9.717e-01	1.101e-06	7.784e-03	8.921e-07	7.762e-03	1.307e+51	7.784e-03
12.027	12.037	9.956e-03	2.092e-02	0.581	9.933e-01	7.204e-06	5.094e-02	5.837e-06	5.079e-02	8.553e+51	5.094e-02
12.024	12.027	2.899e-03	6.093e-03	0.584	1.000e+00	2.160e-06	1.527e-02	1.750e-06	1.522e-02	2.564e+51	1.527e-02
