rmin[km]	rmax[km]	DRlayer[km]	DRlayer_DRcr	zlayer[km]	zlayer_zdrip	Mblayer[solarmass]	Mblayer_Mbcr	Mlayer[solarmass]	Mlayer_Mcr	DNlayer	DNlayer_DN
12.495	12.500	4.892e-03	1.030e-02	0.006	1.025e-02	2.855e-08	3.420e-04	2.336e-08	3.443e-04	3.390e+49	3.420e-04
12.448	12.495	4.755e-02	1.001e-01	0.064	1.099e-01	1.016e-06	1.217e-02	8.306e-07	1.224e-02	1.206e+51	1.217e-02
12.444	12.448	3.257e-03	6.857e-03	0.068	1.169e-01	1.161e-07	1.391e-03	9.490e-08	1.399e-03	1.379e+50	1.391e-03
12.424	12.444	1.989e-02	4.187e-02	0.093	1.587e-01	8.521e-07	1.021e-02	6.962e-07	1.026e-02	1.012e+51	1.021e-02
12.372	12.424	5.179e-02	1.090e-01	0.156	2.675e-01	3.341e-06	4.002e-02	2.728e-06	4.021e-02	3.967e+51	4.002e-02
12.315	12.372	5.761e-02	1.213e-01	0.227	3.888e-01	5.709e-06	6.838e-02	4.655e-06	6.863e-02	6.778e+51	6.838e-02
12.261	12.315	5.328e-02	1.122e-01	0.292	5.012e-01	7.327e-06	8.777e-02	5.969e-06	8.798e-02	8.699e+51	8.777e-02
12.223	12.261	3.779e-02	7.956e-02	0.339	5.812e-01	6.565e-06	7.864e-02	5.342e-06	7.875e-02	7.794e+51	7.864e-02
12.215	12.223	7.820e-03	1.646e-02	0.349	5.981e-01	1.507e-06	1.806e-02	1.226e-06	1.807e-02	1.790e+51	1.806e-02
12.184	12.215	3.132e-02	6.594e-02	0.388	6.645e-01	6.656e-06	7.973e-02	5.412e-06	7.978e-02	7.902e+51	7.973e-02
12.173	12.184	1.023e-02	2.154e-02	0.401	6.865e-01	2.348e-06	2.812e-02	1.908e-06	2.813e-02	2.787e+51	2.812e-02
12.143	12.173	3.022e-02	6.362e-02	0.438	7.507e-01	7.585e-06	9.085e-02	6.162e-06	9.083e-02	9.005e+51	9.085e-02
12.127	12.143	1.561e-02	3.287e-02	0.458	7.842e-01	4.304e-06	5.156e-02	3.495e-06	5.152e-02	5.110e+51	5.156e-02
12.110	12.127	1.675e-02	3.526e-02	0.478	8.200e-01	4.953e-06	5.933e-02	4.020e-06	5.926e-02	5.880e+51	5.933e-02
12.088	12.110	2.147e-02	4.521e-02	0.505	8.659e-01	6.875e-06	8.235e-02	5.578e-06	8.222e-02	8.162e+51	8.235e-02
12.063	12.088	2.521e-02	5.307e-02	0.537	9.197e-01	8.814e-06	1.056e-01	7.148e-06	1.054e-01	1.046e+52	1.056e-01
12.040	12.063	2.304e-02	4.852e-02	0.565	9.690e-01	8.791e-06	1.053e-01	7.126e-06	1.050e-01	1.044e+52	1.053e-01
12.031	12.039	8.736e-03	1.839e-02	0.576	9.881e-01	3.551e-06	4.253e-02	2.877e-06	4.241e-02	4.215e+51	4.253e-02
12.025	12.030	5.360e-03	1.128e-02	0.583	1.000e+00	2.304e-06	2.759e-02	1.866e-06	2.751e-02	2.735e+51	2.759e-02
