rmin[km]	rmax[km]	DRlayer[km]	DRlayer_DRcr	zlayer[km]	zlayer_zdrip	Mblayer[solarmass]	Mblayer_Mbcr	Mlayer[solarmass]	Mlayer_Mcr	DNlayer	DNlayer_DN
12.496	12.500	4.374e-03	9.201e-03	0.005	9.157e-03	3.409e-08	3.037e-04	2.788e-08	3.057e-04	4.047e+49	3.037e-04
12.450	12.496	4.596e-02	9.668e-02	0.062	1.054e-01	1.287e-06	1.146e-02	1.052e-06	1.153e-02	1.528e+51	1.146e-02
12.422	12.450	2.723e-02	5.729e-02	0.095	1.626e-01	1.543e-06	1.375e-02	1.261e-06	1.382e-02	1.832e+51	1.375e-02
12.370	12.422	5.183e-02	1.090e-01	0.159	2.715e-01	4.583e-06	4.083e-02	3.742e-06	4.102e-02	5.441e+51	4.083e-02
12.313	12.370	5.758e-02	1.211e-01	0.229	3.926e-01	7.757e-06	6.911e-02	6.326e-06	6.935e-02	9.209e+51	6.911e-02
12.260	12.313	5.277e-02	1.110e-01	0.294	5.038e-01	9.812e-06	8.742e-02	7.992e-06	8.763e-02	1.165e+52	8.742e-02
12.253	12.260	6.395e-03	1.345e-02	0.302	5.177e-01	1.402e-06	1.249e-02	1.141e-06	1.251e-02	1.665e+51	1.249e-02
12.219	12.253	3.368e-02	7.085e-02	0.344	5.889e-01	8.024e-06	7.149e-02	6.529e-06	7.159e-02	9.526e+51	7.149e-02
12.215	12.219	4.236e-03	8.911e-03	0.349	5.982e-01	1.102e-06	9.819e-03	8.964e-07	9.828e-03	1.308e+51	9.819e-03
12.214	12.215	5.667e-04	1.192e-03	0.350	5.998e-01	1.528e-07	1.361e-03	1.242e-07	1.362e-03	1.814e+50	1.361e-03
12.169	12.214	4.470e-02	9.403e-02	0.405	6.944e-01	1.314e-05	1.170e-01	1.068e-05	1.171e-01	1.559e+52	1.170e-01
12.143	12.169	2.667e-02	5.610e-02	0.439	7.511e-01	9.025e-06	8.041e-02	7.331e-06	8.038e-02	1.071e+52	8.041e-02
12.124	12.142	1.806e-02	3.799e-02	0.461	7.897e-01	6.698e-06	5.967e-02	5.438e-06	5.962e-02	7.952e+51	5.967e-02
12.110	12.124	1.420e-02	2.987e-02	0.479	8.201e-01	5.647e-06	5.031e-02	4.583e-06	5.025e-02	6.704e+51	5.031e-02
12.088	12.110	2.152e-02	4.528e-02	0.506	8.661e-01	9.230e-06	8.223e-02	7.489e-06	8.210e-02	1.096e+52	8.223e-02
12.062	12.088	2.526e-02	5.315e-02	0.537	9.200e-01	1.183e-05	1.054e-01	9.596e-06	1.052e-01	1.405e+52	1.054e-01
12.041	12.062	2.117e-02	4.453e-02	0.564	9.653e-01	1.079e-05	9.612e-02	8.744e-06	9.587e-02	1.281e+52	9.612e-02
12.033	12.041	8.254e-03	1.736e-02	0.574	9.833e-01	4.571e-06	4.073e-02	3.704e-06	4.061e-02	5.427e+51	4.073e-02
12.032	12.032	5.301e-04	1.115e-03	0.575	9.850e-01	3.016e-07	2.687e-03	2.443e-07	2.679e-03	3.580e+50	2.687e-03
12.028	12.031	3.687e-03	7.755e-03	0.580	9.933e-01	2.141e-06	1.907e-02	1.734e-06	1.901e-02	2.541e+51	1.907e-02
12.025	12.028	2.892e-03	6.084e-03	0.584	1.000e+00	1.715e-06	1.528e-02	1.389e-06	1.523e-02	2.036e+51	1.528e-02
