Pmin[MeVfm**(-3)]	Pmax[MeVfm**(-3)]	etotmin[MeVfm**(-3)]	etotmax[MeVfm**(-3)]	nbmin[fm**(-3)]	nbmax[fm**(-3)]	A	Z	N	Z/A	mu_bmin[MeV]	mu_bmax[MeV]	mu_emin[MeV]	mu_emax[MeV]
6.082e-15	3.388e-10	5.857e-09	4.615e-06	6.295e-12	4.960e-09	56	26	30	0.464	930.414	930.603	0.518	0.954
3.393e-10	4.160e-08	4.758e-06	1.470e-04	5.113e-09	1.579e-07	62	28	34	0.452	930.604	931.306	0.955	2.583
4.166e-08	4.393e-08	1.480e-04	1.539e-04	1.590e-07	1.653e-07	58	26	32	0.448	931.306	931.320	2.582	2.615
4.400e-08	3.565e-07	1.582e-04	7.466e-04	1.699e-07	8.015e-07	64	28	36	0.438	931.321	932.040	2.617	4.335
3.570e-07	4.137e-07	7.708e-04	8.603e-04	8.274e-07	9.234e-07	66	28	38	0.424	932.041	932.106	4.337	4.496
4.143e-07	1.028e-06	8.782e-04	1.731e-03	9.426e-07	1.857e-06	86	36	50	0.419	932.107	932.556	4.507	5.637
1.030e-06	5.572e-06	1.790e-03	6.332e-03	1.920e-06	6.788e-06	84	34	50	0.405	932.557	933.686	5.636	8.565
5.581e-06	1.766e-05	6.566e-03	1.557e-02	7.038e-06	1.668e-05	82	32	50	0.390	933.687	934.747	8.564	11.410
1.769e-05	3.142e-05	1.620e-02	2.493e-02	1.735e-05	2.669e-05	80	30	50	0.375	934.748	935.378	11.408	13.165
3.147e-05	4.282e-05	2.537e-02	3.196e-02	2.715e-05	3.420e-05	76	28	48	0.368	935.380	935.751	13.164	14.215
4.288e-05	7.892e-05	3.284e-02	5.191e-02	3.514e-05	5.551e-05	78	28	50	0.359	935.753	936.557	14.220	16.558
7.903e-05	1.055e-04	5.330e-02	6.621e-02	5.700e-05	7.077e-05	80	28	52	0.350	936.559	936.974	16.564	17.802
1.056e-04	1.189e-04	6.660e-02	7.277e-02	7.120e-05	7.777e-05	86	30	56	0.349	936.976	937.154	17.818	18.350
1.190e-04	1.365e-04	7.431e-02	8.236e-02	7.942e-05	8.801e-05	82	28	54	0.341	937.156	937.365	18.348	18.986
1.367e-04	1.416e-04	8.271e-02	8.494e-02	8.839e-05	9.076e-05	88	30	58	0.341	937.367	937.422	19.003	19.172
1.418e-04	1.847e-04	8.684e-02	1.059e-01	9.278e-05	1.131e-04	84	28	56	0.333	937.425	937.841	19.169	20.474
1.849e-04	2.404e-04	1.085e-01	1.321e-01	1.159e-04	1.411e-04	86	28	58	0.326	937.844	938.276	20.482	21.868
2.407e-04	3.242e-04	1.354e-01	1.693e-01	1.445e-04	1.806e-04	88	28	60	0.318	938.279	938.793	21.876	23.565
3.247e-04	4.214e-04	1.733e-01	2.108e-01	1.850e-04	2.249e-04	90	28	62	0.311	938.796	939.269	23.573	25.160
4.220e-04	4.463e-04	2.157e-01	2.250e-01	2.301e-04	2.400e-04	92	28	64	0.304	939.272	939.375	25.169	25.524
4.470e-04	4.536e-04	2.317e-01	2.343e-01	2.472e-04	2.499e-04	134	40	94	0.299	939.378	939.405	25.609	25.703
4.543e-04	4.897e-04	2.381e-01	2.519e-01	2.539e-04	2.686e-04	136	40	96	0.294	939.407	939.543	25.713	26.200
4.905e-04	4.955e-04	2.599e-01	2.619e-01	2.771e-04	2.793e-04	174	50	124	0.287	939.546	939.564	26.269	26.337
