Pmin[MeVfm**(-3)]	Pmax[MeVfm**(-3)]	etotmin[MeVfm**(-3)]	etotmax[MeVfm**(-3)]	nbmin[fm**(-3)]	nbmax[fm**(-3)]	A	Z	N	Z/A	mu_bmin[MeV]	mu_bmax[MeV]	mu_emin[MeV]	mu_emax[MeV]
6.082e-15	3.136e-07	2.271e-03	4.693e-03	2.441e-06	5.044e-06	56	26	30	0.464	930.340	930.420	0.608	0.851
3.141e-07	1.227e-05	4.872e-03	2.061e-02	5.237e-06	2.215e-05	62	28	34	0.452	930.420	931.271	0.856	2.949
1.229e-05	2.680e-05	2.182e-02	3.130e-02	2.345e-05	3.362e-05	88	38	50	0.432	931.271	931.779	2.985	4.248
2.684e-05	7.056e-05	3.226e-02	5.115e-02	3.465e-05	5.492e-05	86	36	50	0.419	931.781	932.756	4.243	6.696
7.066e-05	1.461e-04	5.288e-02	7.526e-02	5.676e-05	8.074e-05	84	34	50	0.405	932.758	933.855	6.692	9.505
1.463e-04	2.436e-04	7.804e-02	1.002e-01	8.372e-05	1.074e-04	82	32	50	0.390	933.857	934.875	9.502	12.188
2.439e-04	2.580e-04	1.041e-01	1.069e-01	1.116e-04	1.147e-04	132	50	82	0.379	934.878	935.002	12.283	12.623
2.584e-04	3.505e-04	1.073e-01	1.247e-01	1.150e-04	1.336e-04	80	30	50	0.375	935.006	935.747	12.534	14.559
3.510e-04	3.829e-04	1.275e-01	1.331e-01	1.367e-04	1.426e-04	130	48	82	0.369	935.751	935.979	14.663	15.300
3.835e-04	4.934e-04	1.368e-01	1.548e-01	1.465e-04	1.658e-04	128	46	82	0.359	935.983	936.686	15.302	17.315
4.941e-04	5.793e-04	1.594e-01	1.724e-01	1.707e-04	1.846e-04	126	44	82	0.349	936.691	937.170	17.317	18.727
5.802e-04	6.985e-04	1.778e-01	1.949e-01	1.903e-04	2.086e-04	124	42	82	0.339	937.175	937.768	18.730	20.523
6.995e-04	8.585e-04	2.014e-01	2.229e-01	2.155e-04	2.384e-04	122	40	82	0.328	937.773	938.473	20.527	22.709
8.598e-04	9.337e-04	2.269e-01	2.363e-01	2.427e-04	2.528e-04	121	39	82	0.322	938.479	938.777	22.719	23.664
9.351e-04	9.745e-04	2.407e-01	2.457e-01	2.574e-04	2.627e-04	120	38	82	0.317	938.783	938.934	23.676	24.163
9.759e-04	1.149e-03	2.500e-01	2.711e-01	2.673e-04	2.898e-04	122	38	84	0.311	938.939	939.562	24.181	26.217
