rmin[km]	rmax[km]	DRlayer[km]	DRlayer_DRcr	zlayer[km]	zlayer_zdrip	Mblayer[solarmass]	Mblayer_Mbcr	Mlayer[solarmass]	Mlayer_Mcr	DNlayer	DNlayer_DN
12.496	12.500	3.955e-03	8.313e-03	0.005	8.273e-03	3.857e-08	2.754e-04	3.155e-08	2.773e-04	4.579e+49	2.754e-04
12.452	12.496	4.355e-02	9.156e-02	0.058	9.945e-02	1.482e-06	1.058e-02	1.211e-06	1.065e-02	1.759e+51	1.058e-02
12.421	12.452	3.172e-02	6.668e-02	0.097	1.660e-01	2.256e-06	1.611e-02	1.843e-06	1.620e-02	2.679e+51	1.611e-02
12.369	12.421	5.180e-02	1.089e-01	0.161	2.747e-01	5.857e-06	4.183e-02	4.781e-06	4.202e-02	6.954e+51	4.183e-02
12.311	12.369	5.762e-02	1.211e-01	0.231	3.958e-01	9.862e-06	7.042e-02	8.042e-06	7.066e-02	1.171e+52	7.042e-02
12.270	12.311	4.080e-02	8.578e-02	0.282	4.819e-01	9.347e-06	6.674e-02	7.614e-06	6.691e-02	1.110e+52	6.674e-02
12.217	12.270	5.287e-02	1.111e-01	0.347	5.934e-01	1.537e-05	1.097e-01	1.251e-05	1.099e-01	1.824e+52	1.097e-01
12.201	12.217	1.561e-02	3.282e-02	0.366	6.266e-01	5.282e-06	3.772e-02	4.295e-06	3.774e-02	6.271e+51	3.772e-02
12.166	12.201	3.555e-02	7.473e-02	0.410	7.019e-01	1.349e-05	9.630e-02	1.096e-05	9.633e-02	1.601e+52	9.630e-02
12.141	12.165	2.388e-02	5.019e-02	0.440	7.527e-01	1.025e-05	7.318e-02	8.324e-06	7.315e-02	1.217e+52	7.318e-02
12.112	12.141	2.964e-02	6.230e-02	0.477	8.157e-01	1.422e-05	1.015e-01	1.154e-05	1.014e-01	1.688e+52	1.015e-01
12.077	12.111	3.473e-02	7.302e-02	0.520	8.894e-01	1.886e-05	1.347e-01	1.530e-05	1.345e-01	2.239e+52	1.347e-01
12.062	12.076	1.482e-02	3.115e-02	0.538	9.213e-01	8.751e-06	6.249e-02	7.096e-06	6.235e-02	1.039e+52	6.249e-02
12.055	12.061	6.149e-03	1.293e-02	0.546	9.348e-01	3.799e-06	2.713e-02	3.080e-06	2.706e-02	4.511e+51	2.713e-02
12.024	12.055	3.059e-02	6.430e-02	0.584	1.000e+00	2.016e-05	1.439e-01	1.633e-05	1.435e-01	2.393e+52	1.439e-01
