rmin[km]	rmax[km]	DRlayer[km]	DRlayer_DRcr	zlayer[km]	zlayer_zdrip	Mblayer[solarmass]	Mblayer_Mbcr	Mlayer[solarmass]	Mlayer_Mcr	DNlayer	DNlayer_DN
12.495	12.500	4.892e-03	1.030e-02	0.006	1.025e-02	2.855e-08	3.445e-04	2.336e-08	3.468e-04	3.390e+49	3.445e-04
12.448	12.495	4.755e-02	1.001e-01	0.064	1.099e-01	1.016e-06	1.226e-02	8.306e-07	1.233e-02	1.206e+51	1.226e-02
12.444	12.448	3.257e-03	6.857e-03	0.068	1.169e-01	1.161e-07	1.401e-03	9.490e-08	1.409e-03	1.379e+50	1.401e-03
12.424	12.444	1.989e-02	4.187e-02	0.093	1.587e-01	8.521e-07	1.028e-02	6.962e-07	1.034e-02	1.012e+51	1.028e-02
12.372	12.424	5.179e-02	1.090e-01	0.156	2.675e-01	3.341e-06	4.031e-02	2.728e-06	4.050e-02	3.967e+51	4.031e-02
12.315	12.372	5.761e-02	1.213e-01	0.227	3.888e-01	5.709e-06	6.888e-02	4.655e-06	6.912e-02	6.778e+51	6.888e-02
12.261	12.315	5.328e-02	1.122e-01	0.292	5.012e-01	7.327e-06	8.841e-02	5.969e-06	8.862e-02	8.699e+51	8.841e-02
12.200	12.261	6.110e-02	1.286e-01	0.368	6.303e-01	1.110e-05	1.339e-01	9.031e-06	1.341e-01	1.318e+52	1.339e-01
12.170	12.200	3.000e-02	6.316e-02	0.405	6.939e-01	6.716e-06	8.103e-02	5.459e-06	8.105e-02	7.973e+51	8.103e-02
12.145	12.170	2.436e-02	5.129e-02	0.435	7.458e-01	6.130e-06	7.396e-02	4.980e-06	7.393e-02	7.277e+51	7.396e-02
12.115	12.145	2.966e-02	6.244e-02	0.472	8.089e-01	8.360e-06	1.009e-01	6.788e-06	1.008e-01	9.926e+51	1.009e-01
12.080	12.115	3.502e-02	7.371e-02	0.515	8.834e-01	1.120e-05	1.351e-01	9.085e-06	1.349e-01	1.329e+52	1.351e-01
12.065	12.080	1.464e-02	3.081e-02	0.534	9.149e-01	5.095e-06	6.148e-02	4.132e-06	6.135e-02	6.049e+51	6.148e-02
12.056	12.065	9.011e-03	1.897e-02	0.545	9.345e-01	3.296e-06	3.976e-02	2.672e-06	3.967e-02	3.912e+51	3.976e-02
12.025	12.056	3.072e-02	6.466e-02	0.583	1.000e+00	1.203e-05	1.452e-01	9.749e-06	1.448e-01	1.428e+52	1.452e-01
