rmin[km]	rmax[km]	DRlayer[km]	DRlayer_DRcr	zlayer[km]	zlayer_zdrip	Mblayer[solarmass]	Mblayer_Mbcr	Mlayer[solarmass]	Mlayer_Mcr	DNlayer	DNlayer_DN
12.496	12.500	4.374e-03	9.202e-03	0.005	9.158e-03	3.409e-08	3.063e-04	2.788e-08	3.083e-04	4.047e+49	3.063e-04
12.450	12.496	4.596e-02	9.668e-02	0.062	1.054e-01	1.287e-06	1.156e-02	1.052e-06	1.163e-02	1.528e+51	1.156e-02
12.422	12.450	2.723e-02	5.729e-02	0.095	1.626e-01	1.543e-06	1.386e-02	1.261e-06	1.394e-02	1.832e+51	1.386e-02
12.370	12.422	5.183e-02	1.091e-01	0.159	2.715e-01	4.583e-06	4.118e-02	3.742e-06	4.137e-02	5.441e+51	4.118e-02
12.313	12.370	5.758e-02	1.211e-01	0.229	3.926e-01	7.757e-06	6.970e-02	6.326e-06	6.995e-02	9.209e+51	6.970e-02
12.260	12.313	5.277e-02	1.110e-01	0.294	5.039e-01	9.812e-06	8.817e-02	7.992e-06	8.838e-02	1.165e+52	8.817e-02
12.253	12.260	6.395e-03	1.345e-02	0.302	5.177e-01	1.402e-06	1.260e-02	1.141e-06	1.262e-02	1.665e+51	1.260e-02
12.215	12.253	3.799e-02	7.992e-02	0.349	5.980e-01	9.125e-06	8.199e-02	7.424e-06	8.210e-02	1.083e+52	8.199e-02
12.203	12.215	1.163e-02	2.447e-02	0.364	6.229e-01	3.129e-06	2.812e-02	2.545e-06	2.814e-02	3.715e+51	2.812e-02
12.167	12.203	3.565e-02	7.501e-02	0.408	6.985e-01	1.069e-05	9.609e-02	8.692e-06	9.612e-02	1.270e+52	9.609e-02
12.143	12.167	2.415e-02	5.080e-02	0.438	7.499e-01	8.206e-06	7.374e-02	6.666e-06	7.371e-02	9.742e+51	7.374e-02
12.113	12.143	2.968e-02	6.244e-02	0.475	8.130e-01	1.128e-05	1.014e-01	9.162e-06	1.013e-01	1.340e+52	1.014e-01
12.078	12.113	3.478e-02	7.317e-02	0.518	8.869e-01	1.498e-05	1.346e-01	1.216e-05	1.344e-01	1.779e+52	1.346e-01
12.063	12.078	1.474e-02	3.100e-02	0.536	9.186e-01	6.907e-06	6.207e-02	5.601e-06	6.193e-02	8.200e+51	6.207e-02
12.055	12.063	7.456e-03	1.569e-02	0.546	9.349e-01	3.663e-06	3.292e-02	2.970e-06	3.284e-02	4.349e+51	3.292e-02
12.025	12.055	3.052e-02	6.421e-02	0.584	1.000e+00	1.602e-05	1.440e-01	1.298e-05	1.435e-01	1.902e+52	1.440e-01
