rmin[km]	rmax[km]	DRlayer[km]	DRlayer_DRcr	zlayer[km]	zlayer_zdrip	Mblayer[solarmass]	Mblayer_Mbcr	Mlayer[solarmass]	Mlayer_Mcr	DNlayer	DNlayer_DN
12.496	12.500	4.374e-03	9.205e-03	0.005	9.160e-03	3.409e-08	3.180e-04	2.788e-08	3.201e-04	4.047e+49	3.180e-04
12.450	12.496	4.596e-02	9.671e-02	0.062	1.055e-01	1.287e-06	1.200e-02	1.052e-06	1.208e-02	1.528e+51	1.200e-02
12.422	12.450	2.723e-02	5.731e-02	0.095	1.627e-01	1.543e-06	1.439e-02	1.261e-06	1.447e-02	1.832e+51	1.439e-02
12.370	12.422	5.183e-02	1.091e-01	0.159	2.716e-01	4.583e-06	4.275e-02	3.742e-06	4.295e-02	5.441e+51	4.275e-02
12.313	12.370	5.758e-02	1.212e-01	0.229	3.927e-01	7.757e-06	7.236e-02	6.326e-06	7.261e-02	9.209e+51	7.236e-02
12.260	12.313	5.277e-02	1.110e-01	0.294	5.040e-01	9.812e-06	9.153e-02	7.992e-06	9.174e-02	1.165e+52	9.153e-02
12.253	12.260	6.395e-03	1.346e-02	0.302	5.178e-01	1.402e-06	1.308e-02	1.141e-06	1.310e-02	1.665e+51	1.308e-02
12.215	12.253	3.799e-02	7.994e-02	0.349	5.982e-01	9.125e-06	8.512e-02	7.424e-06	8.523e-02	1.083e+52	8.512e-02
12.161	12.215	5.417e-02	1.140e-01	0.416	7.128e-01	1.566e-05	1.461e-01	1.273e-05	1.462e-01	1.860e+52	1.461e-01
12.082	12.161	7.848e-02	1.652e-01	0.513	8.789e-01	2.810e-05	2.621e-01	2.281e-05	2.618e-01	3.336e+52	2.621e-01
12.076	12.082	5.470e-03	1.151e-02	0.520	8.910e-01	2.382e-06	2.222e-02	1.932e-06	2.218e-02	2.828e+51	2.222e-02
12.075	12.076	1.297e-03	2.729e-03	0.522	8.943e-01	5.785e-07	5.396e-03	4.691e-07	5.385e-03	6.868e+50	5.396e-03
12.066	12.075	8.942e-03	1.882e-02	0.533	9.137e-01	4.047e-06	3.775e-02	3.281e-06	3.767e-02	4.804e+51	3.775e-02
12.053	12.065	1.282e-02	2.697e-02	0.549	9.414e-01	6.054e-06	5.647e-02	4.907e-06	5.633e-02	7.187e+51	5.647e-02
12.042	12.052	1.004e-02	2.113e-02	0.562	9.632e-01	4.953e-06	4.621e-02	4.015e-06	4.608e-02	5.881e+51	4.621e-02
12.033	12.042	9.352e-03	1.968e-02	0.574	9.836e-01	4.786e-06	4.465e-02	3.878e-06	4.452e-02	5.682e+51	4.465e-02
12.025	12.032	7.495e-03	1.577e-02	0.584	1.000e+00	3.969e-06	3.703e-02	3.216e-06	3.691e-02	4.713e+51	3.703e-02
