rmin[km]	rmax[km]	DRlayer[km]	DRlayer_DRcr	zlayer[km]	zlayer_zdrip	Mblayer[solarmass]	Mblayer_Mbcr	Mlayer[solarmass]	Mlayer_Mcr	DNlayer	DNlayer_DN
12.496	12.500	3.955e-03	8.315e-03	0.005	8.275e-03	3.857e-08	2.855e-04	3.155e-08	2.874e-04	4.579e+49	2.855e-04
12.452	12.496	4.355e-02	9.158e-02	0.058	9.947e-02	1.482e-06	1.097e-02	1.211e-06	1.104e-02	1.759e+51	1.097e-02
12.421	12.452	3.172e-02	6.669e-02	0.097	1.660e-01	2.256e-06	1.670e-02	1.843e-06	1.679e-02	2.679e+51	1.670e-02
12.369	12.421	5.180e-02	1.089e-01	0.161	2.748e-01	5.857e-06	4.336e-02	4.781e-06	4.355e-02	6.954e+51	4.336e-02
12.311	12.369	5.762e-02	1.211e-01	0.231	3.959e-01	9.862e-06	7.300e-02	8.042e-06	7.325e-02	1.171e+52	7.300e-02
12.270	12.311	4.080e-02	8.580e-02	0.282	4.820e-01	9.347e-06	6.919e-02	7.614e-06	6.936e-02	1.110e+52	6.919e-02
12.217	12.270	5.287e-02	1.112e-01	0.347	5.935e-01	1.537e-05	1.138e-01	1.251e-05	1.139e-01	1.824e+52	1.138e-01
12.161	12.217	5.646e-02	1.187e-01	0.416	7.128e-01	2.047e-05	1.515e-01	1.664e-05	1.516e-01	2.430e+52	1.515e-01
12.081	12.160	7.902e-02	1.662e-01	0.514	8.799e-01	3.560e-05	2.635e-01	2.890e-05	2.632e-01	4.226e+52	2.635e-01
12.079	12.081	1.561e-03	3.282e-03	0.516	8.838e-01	8.509e-07	6.299e-03	6.901e-07	6.286e-03	1.010e+51	6.299e-03
12.079	12.079	2.601e-04	5.469e-04	0.517	8.849e-01	1.423e-07	1.054e-03	1.154e-07	1.051e-03	1.690e+50	1.054e-03
12.065	12.079	1.337e-02	2.812e-02	0.534	9.137e-01	7.560e-06	5.596e-02	6.130e-06	5.584e-02	8.975e+51	5.596e-02
12.054	12.065	1.068e-02	2.246e-02	0.547	9.368e-01	6.322e-06	4.680e-02	5.125e-06	4.668e-02	7.505e+51	4.680e-02
12.044	12.054	1.030e-02	2.166e-02	0.560	9.591e-01	6.345e-06	4.697e-02	5.143e-06	4.685e-02	7.533e+51	4.697e-02
12.033	12.043	1.045e-02	2.197e-02	0.574	9.818e-01	6.696e-06	4.957e-02	5.426e-06	4.942e-02	7.949e+51	4.957e-02
12.028	12.033	4.714e-03	9.912e-03	0.580	9.923e-01	3.114e-06	2.305e-02	2.523e-06	2.298e-02	3.697e+51	2.305e-02
12.025	12.028	2.514e-03	5.286e-03	0.583	9.982e-01	1.680e-06	1.244e-02	1.361e-06	1.240e-02	1.995e+51	1.244e-02
12.024	12.025	5.547e-04	1.166e-03	0.584	1.000e+00	3.761e-07	2.784e-03	3.047e-07	2.775e-03	4.466e+50	2.784e-03
