rmin[km]	rmax[km]	DRlayer[km]	DRlayer_DRcr	zlayer[km]	zlayer_zdrip	Mblayer[solarmass]	Mblayer_Mbcr	Mlayer[solarmass]	Mlayer_Mcr	DNlayer	DNlayer_DN
12.490	12.500	1.027e-02	2.177e-02	0.013	2.167e-02	3.676e-11	8.595e-07	3.006e-11	8.660e-07	4.364e+46	8.595e-07
12.452	12.490	3.794e-02	8.044e-02	0.059	1.018e-01	4.432e-09	1.036e-04	3.623e-09	1.044e-04	5.262e+48	1.036e-04
12.451	12.452	7.507e-04	1.591e-03	0.060	1.034e-01	2.421e-10	5.662e-06	1.979e-10	5.702e-06	2.875e+47	5.662e-06
12.412	12.451	3.854e-02	8.172e-02	0.107	1.849e-01	3.315e-08	7.752e-04	2.708e-08	7.803e-04	3.936e+49	7.752e-04
12.409	12.412	3.452e-03	7.318e-03	0.111	1.923e-01	5.977e-09	1.398e-04	4.881e-09	1.406e-04	7.096e+48	1.398e-04
12.385	12.409	2.389e-02	5.064e-02	0.141	2.428e-01	6.443e-08	1.507e-03	5.260e-08	1.516e-03	7.649e+49	1.507e-03
12.326	12.385	5.945e-02	1.260e-01	0.214	3.687e-01	4.691e-07	1.097e-02	3.826e-07	1.102e-02	5.569e+50	1.097e-02
12.270	12.325	5.507e-02	1.168e-01	0.281	4.855e-01	1.224e-06	2.862e-02	9.970e-07	2.873e-02	1.453e+51	2.862e-02
12.198	12.270	7.236e-02	1.534e-01	0.370	6.392e-01	3.999e-06	9.351e-02	3.254e-06	9.375e-02	4.748e+51	9.351e-02
12.103	12.198	9.466e-02	2.007e-01	0.487	8.406e-01	1.303e-05	3.047e-01	1.058e-05	3.050e-01	1.547e+52	3.047e-01
12.087	12.103	1.609e-02	3.412e-02	0.507	8.751e-01	3.576e-06	8.363e-02	2.901e-06	8.360e-02	4.246e+51	8.363e-02
12.079	12.087	7.692e-03	1.631e-02	0.517	8.917e-01	2.054e-06	4.803e-02	1.666e-06	4.800e-02	2.438e+51	4.803e-02
12.066	12.079	1.328e-02	2.816e-02	0.533	9.203e-01	3.948e-06	9.232e-02	3.201e-06	9.224e-02	4.687e+51	9.232e-02
12.055	12.066	1.066e-02	2.260e-02	0.547	9.433e-01	3.558e-06	8.321e-02	2.885e-06	8.312e-02	4.225e+51	8.321e-02
12.044	12.055	1.122e-02	2.378e-02	0.561	9.674e-01	4.162e-06	9.732e-02	3.373e-06	9.719e-02	4.941e+51	9.732e-02
12.034	12.043	9.224e-03	1.956e-02	0.572	9.874e-01	3.775e-06	8.827e-02	3.059e-06	8.813e-02	4.481e+51	8.827e-02
12.028	12.034	5.794e-03	1.228e-02	0.579	1.000e+00	2.552e-06	5.967e-02	2.067e-06	5.957e-02	3.030e+51	5.967e-02
