Pmin[MeVfm**(-3)]	Pmax[MeVfm**(-3)]	etotmin[MeVfm**(-3)]	etotmax[MeVfm**(-3)]	nbmin[fm**(-3)]	nbmax[fm**(-3)]	A	Z	N	Z/A	mu_bmin[MeV]	mu_bmax[MeV]	mu_emin[MeV]	mu_emax[MeV]
6.082e-15	3.136e-07	2.271e-03	4.693e-03	2.441e-06	5.044e-06	56	26	30	0.464	930.340	930.420	0.608	0.851
3.141e-07	1.227e-05	4.872e-03	2.061e-02	5.237e-06	2.215e-05	62	28	34	0.452	930.420	931.271	0.856	2.949
1.229e-05	2.680e-05	2.182e-02	3.130e-02	2.345e-05	3.362e-05	88	38	50	0.432	931.271	931.779	2.985	4.248
2.684e-05	7.056e-05	3.226e-02	5.115e-02	3.465e-05	5.492e-05	86	36	50	0.419	931.781	932.756	4.243	6.696
7.066e-05	1.461e-04	5.288e-02	7.526e-02	5.676e-05	8.074e-05	84	34	50	0.405	932.758	933.855	6.692	9.505
1.463e-04	2.436e-04	7.804e-02	1.002e-01	8.372e-05	1.074e-04	82	32	50	0.390	933.857	934.875	9.502	12.188
2.439e-04	2.580e-04	1.041e-01	1.069e-01	1.116e-04	1.147e-04	132	50	82	0.379	934.878	935.002	12.283	12.623
2.584e-04	3.505e-04	1.073e-01	1.247e-01	1.150e-04	1.336e-04	80	30	50	0.375	935.006	935.747	12.534	14.559
3.510e-04	3.562e-04	1.275e-01	1.285e-01	1.367e-04	1.376e-04	130	48	82	0.369	935.751	935.789	14.663	14.769
3.568e-04	4.790e-04	1.320e-01	1.526e-01	1.414e-04	1.634e-04	128	46	82	0.359	935.792	936.594	14.770	17.066
4.797e-04	6.010e-04	1.571e-01	1.756e-01	1.682e-04	1.880e-04	126	44	82	0.349	936.599	937.280	17.068	19.069
6.019e-04	7.322e-04	1.811e-01	1.995e-01	1.938e-04	2.135e-04	124	42	82	0.339	937.284	937.924	19.072	21.006
7.333e-04	8.881e-04	2.062e-01	2.267e-01	2.206e-04	2.425e-04	122	40	82	0.328	937.929	938.598	21.009	23.092
8.894e-04	1.077e-03	2.348e-01	2.582e-01	2.511e-04	2.760e-04	120	38	82	0.317	938.603	939.315	23.097	25.390
1.079e-03	1.149e-03	2.681e-01	2.767e-01	2.866e-04	2.957e-04	118	36	82	0.305	939.321	939.563	25.396	26.204
