rmin[km]	rmax[km]	DRlayer[km]	DRlayer_DRcr	zlayer[km]	zlayer_zdrip	Mblayer[solarmass]	Mblayer_Mbcr	Mlayer[solarmass]	Mlayer_Mcr	DNlayer	DNlayer_DN
12.495	12.500	4.892e-03	1.030e-02	0.006	1.025e-02	2.855e-08	3.445e-04	2.336e-08	3.468e-04	3.390e+49	3.445e-04
12.448	12.495	4.755e-02	1.001e-01	0.064	1.099e-01	1.016e-06	1.226e-02	8.306e-07	1.233e-02	1.206e+51	1.226e-02
12.444	12.448	3.257e-03	6.857e-03	0.068	1.169e-01	1.161e-07	1.401e-03	9.490e-08	1.409e-03	1.379e+50	1.401e-03
12.424	12.444	1.989e-02	4.187e-02	0.093	1.587e-01	8.521e-07	1.028e-02	6.962e-07	1.034e-02	1.012e+51	1.028e-02
12.372	12.424	5.179e-02	1.090e-01	0.156	2.675e-01	3.341e-06	4.031e-02	2.728e-06	4.050e-02	3.967e+51	4.031e-02
12.315	12.372	5.761e-02	1.213e-01	0.227	3.888e-01	5.709e-06	6.888e-02	4.655e-06	6.912e-02	6.778e+51	6.888e-02
12.261	12.315	5.328e-02	1.122e-01	0.292	5.012e-01	7.327e-06	8.840e-02	5.969e-06	8.862e-02	8.699e+51	8.840e-02
12.205	12.261	5.575e-02	1.174e-01	0.361	6.190e-01	1.003e-05	1.210e-01	8.159e-06	1.211e-01	1.190e+52	1.210e-01
12.174	12.205	3.097e-02	6.519e-02	0.400	6.847e-01	6.825e-06	8.235e-02	5.548e-06	8.238e-02	8.103e+51	8.235e-02
12.140	12.174	3.419e-02	7.197e-02	0.442	7.573e-01	8.626e-06	1.041e-01	7.008e-06	1.040e-01	1.024e+52	1.041e-01
12.107	12.140	3.217e-02	6.773e-02	0.482	8.257e-01	9.254e-06	1.117e-01	7.512e-06	1.115e-01	1.099e+52	1.117e-01
12.074	12.107	3.316e-02	6.981e-02	0.523	8.962e-01	1.081e-05	1.304e-01	8.770e-06	1.302e-01	1.283e+52	1.304e-01
12.039	12.074	3.508e-02	7.384e-02	0.567	9.710e-01	1.297e-05	1.565e-01	1.051e-05	1.561e-01	1.540e+52	1.565e-01
12.025	12.038	1.345e-02	2.832e-02	0.584	1.000e+00	5.493e-06	6.627e-02	4.450e-06	6.607e-02	6.521e+51	6.627e-02
