Pmin[MeVfm**(-3)]	Pmax[MeVfm**(-3)]	etotmin[MeVfm**(-3)]	etotmax[MeVfm**(-3)]	nbmin[fm**(-3)]	nbmax[fm**(-3)]	A	Z	N	Z/A	mu_bmin[MeV]	mu_bmax[MeV]	mu_emin[MeV]	mu_emax[MeV]
6.082e-15	3.549e-07	2.986e-03	5.776e-03	3.210e-06	6.209e-06	56	26	30	0.464	930.333	930.406	0.617	0.842
3.554e-07	1.412e-05	6.004e-03	2.490e-02	6.453e-06	2.676e-05	62	28	34	0.452	930.406	931.211	0.848	2.854
1.414e-05	3.535e-05	2.640e-02	4.028e-02	2.837e-05	4.327e-05	88	38	50	0.432	931.212	931.804	2.892	4.371
3.541e-05	9.131e-05	4.151e-02	6.519e-02	4.458e-05	6.998e-05	86	36	50	0.419	931.805	932.780	4.366	6.825
9.144e-05	1.874e-04	6.738e-02	9.545e-02	7.233e-05	1.024e-04	84	34	50	0.405	932.782	933.880	6.821	9.644
1.877e-04	2.802e-04	9.897e-02	1.204e-01	1.062e-04	1.291e-04	82	32	50	0.390	933.882	934.669	9.640	11.720
2.806e-04	4.353e-04	1.252e-01	1.552e-01	1.342e-04	1.663e-04	132	50	82	0.379	934.672	935.701	11.822	14.642
4.359e-04	4.556e-04	1.592e-01	1.627e-01	1.706e-04	1.743e-04	130	48	82	0.369	935.705	935.819	14.643	14.963
4.563e-04	6.109e-04	1.672e-01	1.929e-01	1.791e-04	2.067e-04	128	46	82	0.359	935.823	936.624	14.963	17.262
6.118e-04	7.642e-04	1.986e-01	2.216e-01	2.127e-04	2.373e-04	126	44	82	0.349	936.629	937.306	17.263	19.257
7.653e-04	9.296e-04	2.286e-01	2.516e-01	2.447e-04	2.693e-04	124	42	82	0.339	937.311	937.950	19.260	21.195
9.310e-04	1.126e-03	2.600e-01	2.857e-01	2.782e-04	3.055e-04	122	40	82	0.328	937.955	938.623	21.198	23.280
1.128e-03	1.364e-03	2.959e-01	3.251e-01	3.164e-04	3.476e-04	120	38	82	0.317	938.628	939.339	23.284	25.576
1.366e-03	1.444e-03	3.376e-01	3.471e-01	3.608e-04	3.710e-04	118	36	82	0.305	939.345	939.560	25.581	26.299
