rmin[km]	rmax[km]	DRlayer[km]	DRlayer_DRcr	zlayer[km]	zlayer_zdrip	Mblayer[solarmass]	Mblayer_Mbcr	Mlayer[solarmass]	Mlayer_Mcr	DNlayer	DNlayer_DN
12.490	12.500	1.027e-02	2.177e-02	0.013	2.167e-02	3.676e-11	7.942e-07	3.006e-11	8.003e-07	4.364e+46	7.942e-07
12.452	12.490	3.794e-02	8.043e-02	0.059	1.018e-01	4.432e-09	9.577e-05	3.623e-09	9.647e-05	5.262e+48	9.577e-05
12.451	12.452	7.507e-04	1.591e-03	0.060	1.034e-01	2.421e-10	5.232e-06	1.979e-10	5.269e-06	2.875e+47	5.232e-06
12.412	12.451	3.854e-02	8.171e-02	0.107	1.849e-01	3.315e-08	7.164e-04	2.708e-08	7.211e-04	3.936e+49	7.164e-04
12.409	12.412	3.452e-03	7.318e-03	0.111	1.923e-01	5.977e-09	1.291e-04	4.881e-09	1.300e-04	7.096e+48	1.291e-04
12.385	12.409	2.389e-02	5.064e-02	0.141	2.428e-01	6.443e-08	1.392e-03	5.260e-08	1.400e-03	7.649e+49	1.392e-03
12.326	12.385	5.945e-02	1.260e-01	0.214	3.687e-01	4.691e-07	1.014e-02	3.826e-07	1.019e-02	5.569e+50	1.014e-02
12.270	12.325	5.507e-02	1.167e-01	0.281	4.855e-01	1.224e-06	2.644e-02	9.970e-07	2.655e-02	1.453e+51	2.644e-02
12.198	12.270	7.236e-02	1.534e-01	0.370	6.391e-01	3.999e-06	8.641e-02	3.254e-06	8.663e-02	4.748e+51	8.641e-02
12.180	12.198	1.832e-02	3.883e-02	0.393	6.783e-01	1.691e-06	3.655e-02	1.375e-06	3.661e-02	2.008e+51	3.655e-02
12.146	12.179	3.356e-02	7.113e-02	0.434	7.498e-01	4.317e-06	9.329e-02	3.507e-06	9.339e-02	5.125e+51	9.329e-02
12.112	12.146	3.342e-02	7.085e-02	0.476	8.210e-01	6.160e-06	1.331e-01	5.001e-06	1.332e-01	7.313e+51	1.331e-01
12.078	12.112	3.424e-02	7.259e-02	0.518	8.942e-01	8.888e-06	1.920e-01	7.210e-06	1.920e-01	1.055e+52	1.920e-01
12.041	12.078	3.642e-02	7.721e-02	0.563	9.720e-01	1.326e-05	2.865e-01	1.075e-05	2.861e-01	1.574e+52	2.865e-01
12.028	12.041	1.302e-02	2.760e-02	0.579	1.000e+00	6.000e-06	1.297e-01	4.862e-06	1.294e-01	7.124e+51	1.297e-01
