rmin[km]	rmax[km]	DRlayer[km]	DRlayer_DRcr	zlayer[km]	zlayer_zdrip	Mblayer[solarmass]	Mblayer_Mbcr	Mlayer[solarmass]	Mlayer_Mcr	DNlayer	DNlayer_DN
12.496	12.500	3.955e-03	8.316e-03	0.005	8.276e-03	3.857e-08	2.758e-04	3.155e-08	2.776e-04	4.579e+49	2.758e-04
12.452	12.496	4.355e-02	9.159e-02	0.058	9.949e-02	1.482e-06	1.060e-02	1.211e-06	1.066e-02	1.759e+51	1.060e-02
12.421	12.452	3.172e-02	6.670e-02	0.097	1.660e-01	2.256e-06	1.613e-02	1.843e-06	1.622e-02	2.679e+51	1.613e-02
12.369	12.421	5.180e-02	1.089e-01	0.161	2.748e-01	5.857e-06	4.188e-02	4.781e-06	4.207e-02	6.954e+51	4.188e-02
12.311	12.369	5.762e-02	1.212e-01	0.231	3.960e-01	9.862e-06	7.052e-02	8.042e-06	7.076e-02	1.171e+52	7.052e-02
12.270	12.311	4.080e-02	8.581e-02	0.282	4.820e-01	9.347e-06	6.683e-02	7.614e-06	6.700e-02	1.110e+52	6.683e-02
12.217	12.270	5.287e-02	1.112e-01	0.347	5.936e-01	1.537e-05	1.099e-01	1.251e-05	1.100e-01	1.824e+52	1.099e-01
12.211	12.217	5.826e-03	1.225e-02	0.354	6.063e-01	1.937e-06	1.385e-02	1.575e-06	1.386e-02	2.299e+51	1.385e-02
12.170	12.211	4.066e-02	8.550e-02	0.404	6.923e-01	1.507e-05	1.078e-01	1.225e-05	1.078e-01	1.789e+52	1.078e-01
12.136	12.170	3.408e-02	7.168e-02	0.447	7.646e-01	1.466e-05	1.049e-01	1.191e-05	1.048e-01	1.741e+52	1.049e-01
12.104	12.136	3.193e-02	6.714e-02	0.486	8.324e-01	1.562e-05	1.117e-01	1.268e-05	1.116e-01	1.854e+52	1.117e-01
12.070	12.104	3.309e-02	6.958e-02	0.527	9.028e-01	1.831e-05	1.309e-01	1.485e-05	1.307e-01	2.174e+52	1.309e-01
12.035	12.070	3.495e-02	7.351e-02	0.571	9.772e-01	2.190e-05	1.566e-01	1.775e-05	1.562e-01	2.600e+52	1.566e-01
12.024	12.035	1.051e-02	2.211e-02	0.584	1.000e+00	7.240e-06	5.177e-02	5.865e-06	5.161e-02	8.595e+51	5.177e-02
