rmin[km]	rmax[km]	DRlayer[km]	DRlayer_DRcr	zlayer[km]	zlayer_zdrip	Mblayer[solarmass]	Mblayer_Mbcr	Mlayer[solarmass]	Mlayer_Mcr	DNlayer	DNlayer_DN
12.496	12.500	4.374e-03	9.202e-03	0.005	9.158e-03	3.409e-08	3.116e-04	2.788e-08	3.137e-04	4.047e+49	3.116e-04
12.450	12.496	4.596e-02	9.668e-02	0.062	1.054e-01	1.287e-06	1.176e-02	1.052e-06	1.183e-02	1.528e+51	1.176e-02
12.422	12.450	2.723e-02	5.729e-02	0.095	1.626e-01	1.543e-06	1.410e-02	1.261e-06	1.418e-02	1.832e+51	1.410e-02
12.370	12.422	5.183e-02	1.090e-01	0.159	2.715e-01	4.583e-06	4.190e-02	3.742e-06	4.209e-02	5.441e+51	4.190e-02
12.313	12.370	5.758e-02	1.211e-01	0.229	3.926e-01	7.757e-06	7.091e-02	6.326e-06	7.116e-02	9.209e+51	7.091e-02
12.260	12.313	5.277e-02	1.110e-01	0.294	5.039e-01	9.812e-06	8.970e-02	7.992e-06	8.991e-02	1.165e+52	8.970e-02
12.253	12.260	6.395e-03	1.345e-02	0.302	5.177e-01	1.402e-06	1.282e-02	1.141e-06	1.284e-02	1.665e+51	1.282e-02
12.215	12.253	3.799e-02	7.991e-02	0.349	5.980e-01	9.125e-06	8.341e-02	7.424e-06	8.352e-02	1.083e+52	8.341e-02
12.206	12.215	8.628e-03	1.815e-02	0.360	6.166e-01	2.309e-06	2.111e-02	1.878e-06	2.112e-02	2.741e+51	2.111e-02
12.151	12.206	5.495e-02	1.156e-01	0.428	7.328e-01	1.676e-05	1.532e-01	1.362e-05	1.532e-01	1.990e+52	1.532e-01
12.121	12.151	2.978e-02	6.265e-02	0.465	7.961e-01	1.070e-05	9.782e-02	8.689e-06	9.774e-02	1.270e+52	9.782e-02
12.091	12.121	3.025e-02	6.364e-02	0.502	8.605e-01	1.221e-05	1.116e-01	9.909e-06	1.115e-01	1.450e+52	1.116e-01
12.036	12.090	5.471e-02	1.151e-01	0.570	9.766e-01	2.556e-05	2.337e-01	2.072e-05	2.331e-01	3.034e+52	2.337e-01
12.025	12.035	1.079e-02	2.270e-02	0.584	1.000e+00	5.660e-06	5.174e-02	4.585e-06	5.158e-02	6.719e+51	5.174e-02
