Pmin[MeVfm**(-3)]	Pmax[MeVfm**(-3)]	etotmin[MeVfm**(-3)]	etotmax[MeVfm**(-3)]	nbmin[fm**(-3)]	nbmax[fm**(-3)]	A	Z	N	Z/A	mu_bmin[MeV]	mu_bmax[MeV]	mu_emin[MeV]	mu_emax[MeV]
6.082e-15	3.549e-07	2.986e-03	5.776e-03	3.210e-06	6.209e-06	56	26	30	0.464	930.333	930.406	0.617	0.842
3.554e-07	1.412e-05	6.004e-03	2.490e-02	6.453e-06	2.676e-05	62	28	34	0.452	930.406	931.211	0.848	2.854
1.414e-05	3.535e-05	2.640e-02	4.028e-02	2.837e-05	4.327e-05	88	38	50	0.432	931.212	931.804	2.892	4.371
3.541e-05	9.131e-05	4.151e-02	6.519e-02	4.458e-05	6.998e-05	86	36	50	0.419	931.805	932.780	4.366	6.825
9.144e-05	1.874e-04	6.738e-02	9.545e-02	7.233e-05	1.024e-04	84	34	50	0.405	932.782	933.880	6.821	9.644
1.877e-04	2.802e-04	9.897e-02	1.204e-01	1.062e-04	1.291e-04	82	32	50	0.390	933.882	934.669	9.640	11.720
2.806e-04	4.353e-04	1.252e-01	1.552e-01	1.342e-04	1.663e-04	132	50	82	0.379	934.672	935.701	11.822	14.642
4.359e-04	5.241e-04	1.592e-01	1.743e-01	1.706e-04	1.867e-04	130	48	82	0.369	935.705	936.198	14.643	16.024
5.248e-04	6.883e-04	1.791e-01	2.046e-01	1.918e-04	2.191e-04	128	46	82	0.359	936.202	936.998	16.024	18.304
6.893e-04	8.397e-04	2.106e-01	2.322e-01	2.255e-04	2.485e-04	126	44	82	0.349	937.002	937.637	18.305	20.172
8.410e-04	1.004e-03	2.395e-01	2.613e-01	2.563e-04	2.796e-04	124	42	82	0.339	937.642	938.249	20.174	22.010
1.005e-03	1.352e-03	2.701e-01	3.128e-01	2.889e-04	3.344e-04	122	40	82	0.328	938.254	939.366	22.014	25.478
1.354e-03	1.421e-03	3.239e-01	3.319e-01	3.463e-04	3.547e-04	120	38	82	0.317	939.371	939.564	25.483	26.102
