rmin[km]	rmax[km]	DRlayer[km]	DRlayer_DRcr	zlayer[km]	zlayer_zdrip	Mblayer[solarmass]	Mblayer_Mbcr	Mlayer[solarmass]	Mlayer_Mcr	DNlayer	DNlayer_DN
12.496	12.500	3.955e-03	8.312e-03	0.005	8.273e-03	3.857e-08	2.802e-04	3.155e-08	2.821e-04	4.579e+49	2.802e-04
12.452	12.496	4.355e-02	9.155e-02	0.058	9.944e-02	1.482e-06	1.076e-02	1.211e-06	1.083e-02	1.759e+51	1.076e-02
12.421	12.452	3.172e-02	6.667e-02	0.097	1.660e-01	2.256e-06	1.639e-02	1.843e-06	1.648e-02	2.679e+51	1.639e-02
12.369	12.421	5.180e-02	1.089e-01	0.161	2.747e-01	5.857e-06	4.255e-02	4.781e-06	4.274e-02	6.954e+51	4.255e-02
12.311	12.369	5.762e-02	1.211e-01	0.231	3.958e-01	9.862e-06	7.164e-02	8.042e-06	7.189e-02	1.171e+52	7.164e-02
12.270	12.311	4.080e-02	8.577e-02	0.282	4.818e-01	9.347e-06	6.790e-02	7.614e-06	6.806e-02	1.110e+52	6.790e-02
12.217	12.270	5.287e-02	1.111e-01	0.347	5.933e-01	1.537e-05	1.116e-01	1.251e-05	1.118e-01	1.824e+52	1.116e-01
12.192	12.217	2.512e-02	5.279e-02	0.378	6.466e-01	8.638e-06	6.275e-02	7.024e-06	6.279e-02	1.026e+52	6.275e-02
12.151	12.192	4.019e-02	8.447e-02	0.428	7.317e-01	1.583e-05	1.150e-01	1.286e-05	1.150e-01	1.879e+52	1.150e-01
12.119	12.151	3.180e-02	6.685e-02	0.467	7.992e-01	1.438e-05	1.045e-01	1.168e-05	1.044e-01	1.708e+52	1.045e-01
12.089	12.119	3.020e-02	6.348e-02	0.505	8.634e-01	1.538e-05	1.117e-01	1.248e-05	1.115e-01	1.825e+52	1.117e-01
12.034	12.089	5.476e-02	1.151e-01	0.572	9.795e-01	3.224e-05	2.342e-01	2.614e-05	2.337e-01	3.828e+52	2.342e-01
12.024	12.034	9.408e-03	1.978e-02	0.584	1.000e+00	6.206e-06	4.508e-02	5.027e-06	4.494e-02	7.367e+51	4.508e-02
