Pmin[MeVfm**(-3)]	Pmax[MeVfm**(-3)]	etotmin[MeVfm**(-3)]	etotmax[MeVfm**(-3)]	nbmin[fm**(-3)]	nbmax[fm**(-3)]	A	Z	N	Z/A	mu_bmin[MeV]	mu_bmax[MeV]	mu_emin[MeV]	mu_emax[MeV]
6.082e-15	3.136e-07	2.271e-03	4.693e-03	2.441e-06	5.044e-06	56	26	30	0.464	930.340	930.420	0.608	0.851
3.141e-07	1.227e-05	4.872e-03	2.061e-02	5.237e-06	2.215e-05	62	28	34	0.452	930.420	931.271	0.856	2.949
1.229e-05	2.680e-05	2.182e-02	3.130e-02	2.345e-05	3.362e-05	88	38	50	0.432	931.271	931.779	2.985	4.248
2.684e-05	7.056e-05	3.226e-02	5.115e-02	3.465e-05	5.492e-05	86	36	50	0.419	931.781	932.756	4.243	6.696
7.066e-05	1.461e-04	5.288e-02	7.526e-02	5.676e-05	8.074e-05	84	34	50	0.405	932.758	933.855	6.692	9.505
1.463e-04	1.893e-04	7.804e-02	8.854e-02	8.372e-05	9.497e-05	82	32	50	0.390	933.857	934.339	9.502	10.775
1.896e-04	2.418e-04	9.122e-02	1.028e-01	9.783e-05	1.102e-04	74	28	46	0.378	934.342	934.843	10.762	12.122
2.422e-04	2.920e-04	1.057e-01	1.159e-01	1.133e-04	1.242e-04	76	28	48	0.368	934.847	935.266	12.131	13.298
2.924e-04	4.755e-04	1.197e-01	1.520e-01	1.283e-04	1.629e-04	128	46	82	0.359	935.270	936.527	13.400	17.005
4.762e-04	5.844e-04	1.565e-01	1.732e-01	1.676e-04	1.854e-04	126	44	82	0.349	936.531	937.145	17.007	18.808
5.853e-04	7.047e-04	1.786e-01	1.957e-01	1.912e-04	2.095e-04	124	42	82	0.339	937.149	937.745	18.811	20.613
7.057e-04	8.485e-04	2.023e-01	2.216e-01	2.164e-04	2.370e-04	122	40	82	0.328	937.750	938.379	20.616	22.577
8.497e-04	1.031e-03	2.295e-01	2.526e-01	2.455e-04	2.701e-04	120	38	82	0.317	938.385	939.086	22.582	24.841
1.032e-03	1.168e-03	2.623e-01	2.789e-01	2.804e-04	2.981e-04	118	36	82	0.305	939.092	939.562	24.847	26.415
