rmin[km]	rmax[km]	DRlayer[km]	DRlayer_DRcr	zlayer[km]	zlayer_zdrip	Mblayer[solarmass]	Mblayer_Mbcr	Mlayer[solarmass]	Mlayer_Mcr	DNlayer	DNlayer_DN
12.495	12.500	4.892e-03	1.030e-02	0.006	1.025e-02	2.855e-08	3.390e-04	2.336e-08	3.413e-04	3.390e+49	3.390e-04
12.448	12.495	4.755e-02	1.001e-01	0.064	1.099e-01	1.016e-06	1.206e-02	8.306e-07	1.214e-02	1.206e+51	1.206e-02
12.444	12.448	3.257e-03	6.858e-03	0.068	1.169e-01	1.161e-07	1.379e-03	9.490e-08	1.386e-03	1.379e+50	1.379e-03
12.424	12.444	1.989e-02	4.187e-02	0.093	1.587e-01	8.521e-07	1.012e-02	6.962e-07	1.017e-02	1.012e+51	1.012e-02
12.372	12.424	5.179e-02	1.090e-01	0.156	2.676e-01	3.341e-06	3.967e-02	2.728e-06	3.985e-02	3.967e+51	3.967e-02
12.315	12.372	5.761e-02	1.213e-01	0.227	3.889e-01	5.709e-06	6.778e-02	4.655e-06	6.802e-02	6.778e+51	6.778e-02
12.292	12.315	2.278e-02	4.796e-02	0.255	4.371e-01	2.912e-06	3.457e-02	2.373e-06	3.467e-02	3.457e+51	3.457e-02
12.262	12.292	2.964e-02	6.241e-02	0.292	4.998e-01	4.422e-06	5.250e-02	3.601e-06	5.262e-02	5.250e+51	5.250e-02
12.240	12.262	2.167e-02	4.563e-02	0.318	5.458e-01	3.713e-06	4.408e-02	3.022e-06	4.416e-02	4.408e+51	4.408e-02
12.173	12.240	6.724e-02	1.416e-01	0.401	6.879e-01	1.405e-05	1.668e-01	1.142e-05	1.669e-01	1.668e+52	1.668e-01
12.146	12.173	2.621e-02	5.518e-02	0.434	7.436e-01	6.610e-06	7.848e-02	5.370e-06	7.846e-02	7.848e+51	7.848e-02
12.116	12.146	2.982e-02	6.279e-02	0.471	8.071e-01	8.450e-06	1.003e-01	6.861e-06	1.002e-01	1.003e+52	1.003e-01
12.085	12.116	3.129e-02	6.589e-02	0.510	8.737e-01	1.000e-05	1.188e-01	8.117e-06	1.186e-01	1.188e+52	1.188e-01
12.050	12.085	3.464e-02	7.293e-02	0.553	9.475e-01	1.254e-05	1.489e-01	1.017e-05	1.486e-01	1.489e+52	1.489e-01
12.025	12.050	2.457e-02	5.173e-02	0.583	1.000e+00	9.973e-06	1.184e-01	8.081e-06	1.181e-01	1.184e+52	1.184e-01
