Pmin[MeVfm**(-3)]	Pmax[MeVfm**(-3)]	etotmin[MeVfm**(-3)]	etotmax[MeVfm**(-3)]	nbmin[fm**(-3)]	nbmax[fm**(-3)]	A	Z	N	Z/A	mu_bmin[MeV]	mu_bmax[MeV]	mu_emin[MeV]	mu_emax[MeV]
6.082e-15	3.549e-07	2.986e-03	5.776e-03	3.210e-06	6.209e-06	56	26	30	0.464	930.333	930.406	0.617	0.842
3.554e-07	1.412e-05	6.004e-03	2.490e-02	6.453e-06	2.676e-05	62	28	34	0.452	930.406	931.211	0.848	2.854
1.414e-05	3.535e-05	2.640e-02	4.028e-02	2.837e-05	4.327e-05	88	38	50	0.432	931.212	931.804	2.892	4.371
3.541e-05	9.131e-05	4.151e-02	6.519e-02	4.458e-05	6.998e-05	86	36	50	0.419	931.805	932.780	4.366	6.825
9.144e-05	1.874e-04	6.738e-02	9.545e-02	7.233e-05	1.024e-04	84	34	50	0.405	932.782	933.880	6.821	9.644
1.877e-04	2.468e-04	9.897e-02	1.132e-01	1.062e-04	1.214e-04	82	32	50	0.390	933.882	934.402	9.640	11.017
2.472e-04	3.047e-04	1.166e-01	1.292e-01	1.250e-04	1.385e-04	74	28	46	0.378	934.405	934.842	11.003	12.189
3.052e-04	3.314e-04	1.328e-01	1.383e-01	1.424e-04	1.483e-04	76	28	48	0.368	934.845	935.026	12.197	12.701
3.319e-04	6.064e-04	1.430e-01	1.922e-01	1.533e-04	2.059e-04	128	46	82	0.359	935.029	936.557	12.808	17.200
6.073e-04	7.442e-04	1.979e-01	2.187e-01	2.119e-04	2.342e-04	126	44	82	0.349	936.561	937.175	17.201	19.008
7.453e-04	8.960e-04	2.256e-01	2.471e-01	2.415e-04	2.644e-04	124	42	82	0.339	937.180	937.775	19.010	20.814
8.973e-04	1.076e-03	2.553e-01	2.793e-01	2.732e-04	2.987e-04	122	40	82	0.328	937.780	938.404	20.816	22.762
1.077e-03	1.305e-03	2.892e-01	3.180e-01	3.094e-04	3.401e-04	120	38	82	0.317	938.409	939.109	22.766	25.023
1.306e-03	1.470e-03	3.302e-01	3.501e-01	3.530e-04	3.742e-04	118	36	82	0.305	939.115	939.564	25.028	26.530
