Pmin[MeVfm**(-3)]	Pmax[MeVfm**(-3)]	etotmin[MeVfm**(-3)]	etotmax[MeVfm**(-3)]	nbmin[fm**(-3)]	nbmax[fm**(-3)]	A	Z	N	Z/A	mu_bmin[MeV]	mu_bmax[MeV]	mu_emin[MeV]	mu_emax[MeV]
6.082e-15	3.388e-10	5.857e-09	4.615e-06	6.295e-12	4.960e-09	56	26	30	0.464	930.414	930.603	0.518	0.954
3.393e-10	4.160e-08	4.758e-06	1.470e-04	5.113e-09	1.579e-07	62	28	34	0.452	930.604	931.306	0.955	2.583
4.166e-08	4.393e-08	1.480e-04	1.539e-04	1.590e-07	1.653e-07	58	26	32	0.448	931.306	931.320	2.582	2.615
4.400e-08	3.565e-07	1.582e-04	7.466e-04	1.699e-07	8.015e-07	64	28	36	0.438	931.321	932.040	2.617	4.335
3.570e-07	4.137e-07	7.708e-04	8.603e-04	8.274e-07	9.234e-07	66	28	38	0.424	932.041	932.106	4.337	4.496
4.143e-07	1.028e-06	8.782e-04	1.731e-03	9.426e-07	1.857e-06	86	36	50	0.419	932.107	932.556	4.507	5.637
1.030e-06	5.572e-06	1.790e-03	6.332e-03	1.920e-06	6.788e-06	84	34	50	0.405	932.557	933.686	5.636	8.565
5.581e-06	7.548e-06	6.566e-03	8.233e-03	7.038e-06	8.824e-06	82	32	50	0.390	933.687	933.936	8.564	9.233
7.559e-06	1.978e-05	8.475e-03	1.744e-02	9.083e-06	1.867e-05	74	28	46	0.378	933.937	934.843	9.227	11.725
1.981e-05	2.923e-05	1.793e-02	2.400e-02	1.920e-05	2.569e-05	76	28	48	0.368	934.844	935.266	11.729	12.924
2.928e-05	1.139e-04	2.466e-02	6.837e-02	2.640e-05	7.308e-05	78	28	50	0.359	935.268	937.062	12.929	18.146
1.141e-04	1.703e-04	7.329e-02	9.903e-02	7.834e-05	1.058e-04	124	42	82	0.339	937.064	937.678	18.215	20.132
1.705e-04	2.538e-04	1.023e-01	1.379e-01	1.093e-04	1.472e-04	122	40	82	0.328	937.680	938.333	20.130	22.233
2.542e-04	3.840e-04	1.427e-01	1.946e-01	1.524e-04	2.076e-04	120	38	82	0.317	938.336	939.061	22.231	24.644
3.846e-04	5.044e-04	2.019e-01	2.475e-01	2.154e-04	2.640e-04	118	36	82	0.305	939.064	939.564	24.642	26.369
