Pmin[MeVfm**(-3)]	Pmax[MeVfm**(-3)]	etotmin[MeVfm**(-3)]	etotmax[MeVfm**(-3)]	nbmin[fm**(-3)]	nbmax[fm**(-3)]	A	Z	N	Z/A	mu_bmin[MeV]	mu_bmax[MeV]	mu_emin[MeV]	mu_emax[MeV]
6.082e-15	3.549e-07	2.986e-03	5.776e-03	3.210e-06	6.209e-06	56	26	30	0.464	930.333	930.406	0.617	0.842
3.554e-07	1.412e-05	6.004e-03	2.490e-02	6.453e-06	2.676e-05	62	28	34	0.452	930.406	931.211	0.848	2.854
1.414e-05	3.535e-05	2.640e-02	4.028e-02	2.837e-05	4.327e-05	88	38	50	0.432	931.212	931.804	2.892	4.371
3.541e-05	9.131e-05	4.151e-02	6.519e-02	4.458e-05	6.998e-05	86	36	50	0.419	931.805	932.780	4.366	6.825
9.144e-05	1.874e-04	6.738e-02	9.545e-02	7.233e-05	1.024e-04	84	34	50	0.405	932.782	933.880	6.821	9.644
1.877e-04	2.802e-04	9.897e-02	1.204e-01	1.062e-04	1.291e-04	82	32	50	0.390	933.882	934.669	9.640	11.720
2.806e-04	4.321e-04	1.252e-01	1.546e-01	1.342e-04	1.657e-04	132	50	82	0.379	934.672	935.682	11.822	14.590
4.327e-04	6.163e-04	1.629e-01	1.938e-01	1.745e-04	2.076e-04	128	46	82	0.359	935.686	936.646	14.579	17.337
6.172e-04	7.442e-04	1.995e-01	2.188e-01	2.136e-04	2.342e-04	126	44	82	0.349	936.651	937.218	17.338	19.008
7.453e-04	8.920e-04	2.256e-01	2.465e-01	2.415e-04	2.638e-04	124	42	82	0.339	937.223	937.803	19.010	20.768
8.934e-04	1.106e-03	2.548e-01	2.832e-01	2.726e-04	3.029e-04	122	40	82	0.328	937.808	938.548	20.771	23.078
1.108e-03	1.109e-03	2.880e-01	2.883e-01	3.081e-04	3.083e-04	124	40	84	0.323	938.553	938.558	23.095	23.112
1.111e-03	1.263e-03	2.937e-01	3.130e-01	3.141e-04	3.346e-04	120	38	82	0.317	938.564	939.032	23.116	24.626
1.265e-03	1.415e-03	3.185e-01	3.366e-01	3.405e-04	3.598e-04	122	38	84	0.311	939.038	939.466	24.644	26.046
1.417e-03	1.451e-03	3.480e-01	3.521e-01	3.719e-04	3.763e-04	126	38	88	0.302	939.471	939.562	26.064	26.370
