rmin[km]	rmax[km]	DRlayer[km]	DRlayer_DRcr	zlayer[km]	zlayer_zdrip	Mblayer[solarmass]	Mblayer_Mbcr	Mlayer[solarmass]	Mlayer_Mcr	DNlayer	DNlayer_DN
12.496	12.500	4.374e-03	9.204e-03	0.005	9.160e-03	3.409e-08	3.054e-04	2.788e-08	3.074e-04	4.047e+49	3.054e-04
12.450	12.496	4.596e-02	9.670e-02	0.062	1.055e-01	1.287e-06	1.153e-02	1.052e-06	1.160e-02	1.528e+51	1.153e-02
12.422	12.450	2.723e-02	5.730e-02	0.095	1.626e-01	1.543e-06	1.382e-02	1.261e-06	1.390e-02	1.832e+51	1.382e-02
12.370	12.422	5.183e-02	1.091e-01	0.159	2.715e-01	4.583e-06	4.106e-02	3.742e-06	4.125e-02	5.441e+51	4.106e-02
12.313	12.370	5.758e-02	1.212e-01	0.229	3.927e-01	7.757e-06	6.950e-02	6.326e-06	6.974e-02	9.209e+51	6.950e-02
12.260	12.313	5.277e-02	1.110e-01	0.294	5.040e-01	9.812e-06	8.791e-02	7.992e-06	8.812e-02	1.165e+52	8.791e-02
12.253	12.260	6.395e-03	1.346e-02	0.302	5.178e-01	1.402e-06	1.256e-02	1.141e-06	1.258e-02	1.665e+51	1.256e-02
12.218	12.253	3.485e-02	7.333e-02	0.345	5.915e-01	8.321e-06	7.455e-02	6.771e-06	7.465e-02	9.879e+51	7.455e-02
12.171	12.218	4.710e-02	9.910e-02	0.403	6.912e-01	1.371e-05	1.228e-01	1.115e-05	1.229e-01	1.628e+52	1.228e-01
12.142	12.171	2.854e-02	6.006e-02	0.439	7.518e-01	9.676e-06	8.670e-02	7.861e-06	8.667e-02	1.149e+52	8.670e-02
12.113	12.142	2.931e-02	6.168e-02	0.475	8.142e-01	1.118e-05	1.002e-01	9.080e-06	1.001e-01	1.328e+52	1.002e-01
12.075	12.112	3.699e-02	7.784e-02	0.521	8.928e-01	1.603e-05	1.436e-01	1.300e-05	1.434e-01	1.903e+52	1.436e-01
12.051	12.075	2.457e-02	5.169e-02	0.552	9.453e-01	1.197e-05	1.073e-01	9.706e-06	1.070e-01	1.421e+52	1.073e-01
12.029	12.050	2.121e-02	4.464e-02	0.578	9.907e-01	1.115e-05	9.994e-02	9.039e-06	9.966e-02	1.324e+52	9.994e-02
12.025	12.029	4.130e-03	8.691e-03	0.584	1.000e+00	2.316e-06	2.075e-02	1.877e-06	2.069e-02	2.750e+51	2.075e-02
