 Symbol     Z      N      A               be           Fermi_Energy_P_(MeV)    Fermi_Energy_N_(MeV)    Quad_Def_Beta2_P     Quad_Def_Beta2_N     Quad_Def_Beta2_total   Quad_Moment_Q2_P_(fm^2)    Quad_Moment_Q2_N_(fm^2)    Quad_Moment_Q2_total_(fm^2)     Pairing_gap_P_(MeV)     Pairing_gap_N_(MeV)   RMS_radius_P_(fm)    RMS_radius_N_(fm)    RMS_radius_total_(fm)    Neutron_skin_(fm)    Charge_Radius_(fm)     S_p_(MeV)      S_{2p}_(MeV)     S_n_(MeV)     S_{2n}_(MeV)     Q_{alpha}_(MeV)       
   Xe       54     120    174        -1244.238296              -19.066755               -1.358663             0.109304             0.074408               0.083868               1.903837                   3.485165                      5.389002                   0.679654                0.960883              5.056443             5.562307               5.410378               0.505864              5.109953         20.235961       39.119195        2.362691       2.785322         -13.060481            
   Xe       54     122    176        -1246.898346              -19.375296               -1.361678             0.000008             0.000005               0.000006               0.000140                   0.000238                      0.000379                   0.732392                0.944472              5.066725             5.579728               5.427489               0.513003              5.119707         20.455309       39.517160        2.282702       2.660050         -13.479245            
   Xe       54     124    178        -1250.050365              -19.896774               -0.948933             0.000000             0.000000               0.000000               0.000001                   0.000002                      0.000003                   0.722412                0.933453              5.083160             5.603650               5.451002               0.520490              5.135554         20.994275       40.613751        2.514972       3.152019         -14.369179            
   Xe       54     126    180        -1251.799231              -20.350111               -0.223843             0.000000             0.000000               0.000000               0.000001                   0.000002                      0.000004                   0.711239                1.000360              5.097800             5.630156               5.475886               0.532356              5.149628         21.510153       41.661743        1.841340       1.748866         -14.062617            
   Ba       56     58     114         -919.244601                0.477280              -12.759759             0.245083             0.246463               0.245776               3.768012                   3.817633                      7.585645                   0.853860                1.000619              4.664985             4.600997               4.632540              -0.063988              4.737493          0.860934        0.037611       13.936209      25.870996           4.249261            
   Ba       56     60     116         -944.108685               -0.652604              -12.304968             0.291527             0.302539               0.297181               4.544394                   4.976291                      9.520685                   0.828859                0.993763              4.697314             4.661564               4.678857              -0.035750              4.768896          1.867988        2.071976       13.429233      24.864084           3.398305            
   Ba       56     62     118         -968.143830               -1.626808              -11.712075             0.337547             0.342049               0.339905               5.344811                   5.954663                     11.299474                   0.830415                0.972775              4.734237             4.717732               4.725572              -0.016505              4.804837          2.897567        4.141488       13.000841      24.035145           2.192879            
   Ba       56     64     120         -990.774079               -2.349976              -11.094635             0.329930             0.333897               0.332048               5.242413                   6.077012                     11.319426                   0.829498                0.970713              4.742484             4.747818               4.745330               0.005334              4.812532          3.638446        5.631485       12.286868      22.630249           1.528263            
   Ba       56     66     122        -1012.443977               -2.997213              -10.580630             0.305352             0.311038               0.308444               4.852179                   5.891401                     10.743580                   0.830606                0.991399              4.742630             4.769533               4.757203               0.026903              4.812246          4.328667        7.011697       11.816005      21.669898           0.998617            
   Ba       56     68     124        -1033.219701               -3.622361              -10.093282             0.281690             0.285845               0.283988               4.478350                   5.626098                     10.104448                   0.837363                1.002958              4.743781             4.789930               4.769144               0.046149              4.812949          5.009270        8.366629       11.385041      20.775724           0.512579            
   Ba       56     70     126        -1052.984720               -4.220662               -9.616332             0.258478             0.257566               0.257965               4.112396                   5.260412                      9.372808                   0.842691                1.006271              4.745548             4.809080               4.780948               0.063532              4.814260          5.656343        9.657579       10.887124      19.765019           0.168352            
   Ba       56     72     128        -1071.658147               -4.771802               -9.212298             0.232757             0.224757               0.228192               3.706972                   4.758089                      8.465061                   0.836970                0.993295              4.747981             4.827677               4.792973               0.079696              4.816228          6.206304       10.782116       10.336497      18.673427          -0.031006            
   Ba       56     74     130        -1089.583937               -5.292732               -8.921607             0.203178             0.186708               0.193644               3.240751                   4.093487                      7.334238                   0.833535                0.976271              4.751548             4.846127               4.805613               0.094579              4.819314          6.681183       11.745046        9.947678      17.925790          -0.407906            
   Ba       56     76     132        -1107.117474               -5.825735               -8.667455             0.171623             0.148107               0.157823               2.742766                   3.362014                      6.104780                   0.842118                0.952289              4.756175             4.865749               4.819567               0.109574              4.823447          7.197443       12.759282        9.731048      17.533537          -0.978583            
   Ba       56     78     134        -1124.206034               -6.376434               -8.370207             0.135802             0.109651               0.120251               2.174573                   2.576051                      4.750623                   0.868426                0.918943              4.760854             4.886163               4.834190               0.125309              4.827631          7.780907       13.861963        9.479896      17.088560          -1.547842            
   Ba       56     80     136        -1140.544021               -6.883322               -8.166148            -0.000417            -0.000304              -0.000349              -0.006681                  -0.007372                     -0.014053                   0.972041                0.918737              4.759904             4.902188               4.844107               0.142284              4.826264          8.219172       14.569717        9.087833      16.337987          -1.899950            
   Ba       56     82     138        -1156.522071               -7.556046               -6.629011             0.000000             0.000000               0.000000              -0.000002                  -0.000002                     -0.000005                   0.960632                1.216991              4.773258             4.930537               4.867326               0.157279              4.839007          8.902041       15.956071        9.056889      15.978050          -2.247767            
   Ba       56     84     140        -1167.383737               -8.221076               -5.347467             0.090697             0.071195               0.078660               1.471362                   1.862317                      3.333679                   0.890771                0.773978              4.791967             4.968295               4.898525               0.176328              4.857036          9.698192       17.630943        6.426317      10.861666           1.482263            
   Ba       56     86     142        -1178.028459               -8.917809               -5.165689             0.153527             0.133104               0.140773               2.520614                   3.634230                      6.154844                   0.807976                0.815311              4.820725             5.016567               4.940261               0.195842              4.884986         10.221053       18.883706        6.117006      10.644722           0.024335            
   Ba       56     88     144        -1188.038110               -9.635012               -4.857155             0.184834             0.167929               0.174160               3.067702                   4.775184                      7.842886                   0.773319                0.864983              4.846923             5.060996               4.978839               0.214073              4.910420         10.946022       20.400817        5.844972      10.009651          -0.593357            
   Ba       56     90     146        -1197.292763              -10.372850               -4.555514             0.208974             0.194387               0.199665               3.504578                   5.748367                      9.252946                   0.750611                0.890712              4.872177             5.103438               5.015995               0.231261              4.934929         11.681963       21.909646        5.505174       9.254653          -1.355470            
   Ba       56     92     148        -1205.995948              -11.159832               -4.337464             0.235116             0.223784               0.227812               3.986599                   6.881413                     10.868011                   0.717938                0.905289              4.899045             5.147249               5.054767               0.248204              4.961039         12.425076       23.435876        5.249593       8.703185          -2.312831            
   Ba       56     94     150        -1214.454532              -11.992927               -4.152029             0.262258             0.254331               0.257099               4.498781                   8.132133                     12.630914                   0.686520                0.908422              4.927584             5.192590               5.095267               0.265006              4.988808         13.202880       25.025598        5.136147       8.458584          -3.594460            
   Ba       56     96     152        -1222.538650              -12.714795               -3.905287             0.278985             0.271996               0.274394               4.832817                   9.021235                     13.854052                   0.685006                0.910751              4.951775             5.233124               5.131264               0.281349              5.012290         13.944198       26.516892        4.951645       8.084118          -4.809716            
   Ba       56     98     154        -1230.124422              -13.341925               -3.632133             0.289284             0.281888               0.284382               5.053816                   9.680405                     14.734221                   0.689925                0.913678              4.972770             5.270362               5.164131               0.297592              5.032620         14.604461       27.838576        4.705100       7.585772          -5.802664            
   Ba       56     100    156        -1237.164334              -13.910850               -3.334106             0.296368             0.287314               0.290315               5.218468                  10.202825                     15.421293                   0.692754                0.921680              4.992373             5.305503               5.195269               0.313130              5.051581         15.204951       29.039238        4.437635       7.039912          -6.578488            
   Ba       56     102    158        -1243.521541              -14.434358               -3.015796             0.299465             0.288000               0.291737               5.310451                  10.561415                     15.871866                   0.694565                0.923700              5.010067             5.338386               5.224381               0.328319              5.068659         15.751035       30.130302        4.101294       6.357207          -7.096445            
   Ba       56     104    160        -1249.155624              -14.911618               -2.714433             0.295985             0.282304               0.286689               5.278249                  10.675112                     15.953361                   0.696133                0.921275              5.024128             5.368534               5.250562               0.344406              5.082150         16.236146       31.100793        3.739529       5.634083          -7.464385            
   Ba       56     106    162        -1254.226961              -15.346995               -2.470989             0.284923             0.268695               0.273807               5.101003                  10.459040                     15.560043                   0.704900                0.923396              5.034017             5.395209               5.273151               0.361192              5.091519         16.675839       31.973491        3.458004       5.071337          -7.872130            
   Ba       56     108    164        -1258.972791              -15.762245               -2.288851             0.269030             0.249273               0.255393               4.831222                   9.974327                     14.805549                   0.717358                0.939665              5.041723             5.419224               5.293349               0.377501              5.098732         17.123961       32.857359        3.304445       4.745830          -8.419321            
   Ba       56     110    166        -1263.428802              -16.184473               -2.127312             0.252741             0.229161               0.236346               4.553265                   9.421195                     13.974460                   0.722010                0.948582              5.049808             5.442908               5.313548               0.393100              5.106320         17.556435       33.713411        3.172129       4.456011          -9.013370            
   Ba       56     112    168        -1267.566546              -16.608223               -1.963862             0.236548             0.208919               0.217201               4.275905                   8.822180                     13.098085                   0.717732                0.954504              5.058304             5.466820               5.334125               0.408516              5.114317         18.000849       34.601685        3.020415       4.137744          -9.551155            
   Ba       56     114    170        -1271.285707              -17.011069               -1.814209             0.218865             0.186325               0.195921               3.968957                   8.079491                     12.048448                   0.705590                0.948237              5.066422             5.490963               5.354833               0.424541              5.121942         18.368927       35.352066        2.810951       3.719161         -10.020846            
   Ba       56     116    172        -1274.670487              -17.376449               -1.723259             0.196535             0.158646               0.169639               3.574582                   7.059996                     10.634579                   0.690890                0.941499              5.073925             5.514464               5.374999               0.440539              5.128959         18.666644       35.975904        2.637258       3.384780         -10.436846            
   Ba       56     118    174        -1277.981983              -17.719632               -1.706317             0.168082             0.126810               0.138598               3.066855                   5.786954                      8.853809                   0.686523                0.935542              5.082029             5.536720               5.394567               0.454691              5.136573         18.939654       36.529009        2.594268       3.311496         -10.987400            
   Ba       56     120    176        -1281.424124              -18.072698               -1.708745             0.133461             0.093326               0.104620               2.444235                   4.364525                      6.808760                   0.705386                0.923802              5.091502             5.558028               5.413951               0.466526              5.145542         19.285434       37.185828        2.650742       3.442141         -11.671150            
   Ba       56     122    178        -1284.889730              -18.460191               -1.726003             0.076963             0.049584               0.057182               1.415049                   2.373301                      3.788351                   0.748340                0.914528              5.101470             5.576636               5.431629               0.475166              5.155004         19.736058       37.991384        2.651968       3.465606         -12.351434            
   Ba       56     124    180        -1288.830470              -18.939794               -1.458463             0.000000             0.000000               0.000000               0.000001                   0.000002                      0.000003                   0.766544                0.928717              5.115290             5.597443               5.452011               0.482153              5.168280         20.134531       38.780105        2.891993       3.940740         -13.632124            
   Ba       56     126    182        -1291.629355              -19.391714               -0.623445             0.000000             0.000000               0.000000               0.000001                   0.000002                      0.000004                   0.759066                1.027808              5.129896             5.623434               5.476315               0.493538              5.182336         20.650214       39.830124        2.377705       2.798885         -13.278990            
   Ce       58     60     118         -945.200385                0.168953              -13.301784             0.364456             0.362202               0.363326               6.095192                   6.087949                     12.183141                   0.837542                0.987027              4.780820             4.712262               4.746083              -0.068558              4.851612          1.379050        1.091700       14.739206      27.519709           2.344216            
   Ce       58     62     120         -970.827003               -0.632721              -12.477304             0.378234             0.373192               0.375654               6.375695                   6.592711                     12.968406                   0.833472                0.944199              4.799706             4.752424               4.775335              -0.047282              4.869812          2.173530        2.683173       13.778922      25.626618           1.581682            
   Ce       58     64     122         -994.827424               -1.360721              -11.773697             0.374072             0.367175               0.370473               6.328988                   6.780877                     13.109865                   0.833550                0.937217              4.808620             4.782570               4.794972              -0.026050              4.878188          2.858196        4.053345       12.940918      24.000421           1.616406            
   Ce       58     66     124        -1017.661693               -2.030743              -11.200173             0.356137             0.348754               0.352211               6.030270                   6.704306                     12.734576                   0.834337                0.951298              4.810509             4.804969               4.807561              -0.005540              4.879640          3.441330        5.217716       12.361392      22.834269           1.412386            
   Ce       58     68     126        -1039.513805               -2.636096              -10.677487             0.328712             0.322077               0.325121               5.559168                   6.426061                     11.985229                   0.834402                0.969648              4.807594             4.822624               4.815711               0.015030              4.876355          3.982935        6.294104       11.886529      21.852112           1.230172            
   Ce       58     70     128        -1060.305591               -3.184677              -10.164559             0.298502             0.289909               0.293772               5.039939                   5.991981                     11.031921                   0.827057                0.972887              4.803639             4.837830               4.822367               0.034191              4.872045          4.495310        7.320871       11.367161      20.791786           1.214110            
   Ce       58     72     130        -1079.972054               -3.685192               -9.723734             0.263941             0.251410               0.256934               4.448929                   5.375225                      9.824154                   0.818938                0.966628              4.799605             4.851604               4.828474               0.051999              4.867657          4.984908        8.313907       10.802989      19.666463           1.312666            
   Ce       58     74     132        -1098.901242               -4.195615               -9.447773             0.223355             0.206106               0.213564               3.760100                   4.554793                      8.314893                   0.833565                0.944115              4.796594             4.865397               4.835286               0.068803              4.864277          5.492202        9.317305       10.419965      18.929188           1.056905            
   Ce       58     76     134        -1117.589390               -4.754906               -9.233660             0.185022             0.162079               0.171813               3.115823                   3.703660                      6.819483                   0.866377                0.923932              4.797403             4.881911               4.845514               0.084508              4.864663          6.090206       10.471916       10.278098      18.688148           0.294547            
   Ce       58     78     136        -1135.926937               -5.348962               -8.957772             0.147262             0.120790               0.131813               2.482902                   2.854379                      5.337281                   0.904452                0.899461              4.800272             4.900476               4.857995               0.100204              4.867081          6.746891       11.720903       10.080470      18.337547          -0.509463            
   Ce       58     80     138        -1153.604091               -5.972156               -8.678179             0.076491             0.057391               0.065196               1.289889                   1.400557                      2.690447                   0.975090                0.903540              4.800677             4.917331               4.868643               0.116654              4.867069          7.503600       13.060070        9.740078      17.677154          -1.098057            
   Ce       58     82     140        -1170.703211               -6.631250               -7.271659             0.000000             0.000000               0.000000              -0.000003                  -0.000003                     -0.000006                   0.999144                1.226081              4.809367             4.941930               4.887447               0.132563              4.875230          8.070458       14.181140        9.614370      17.099120          -1.859190            
   Ce       58     84     142        -1182.774274               -7.239366               -5.969345             0.093422             0.073659               0.081440               1.593321                   1.934782                      3.528102                   0.932438                0.773243              4.827897             4.978601               4.917604               0.150704              4.893102          8.606873       15.390537        7.035193      12.071063           2.047797            
   Ce       58     86     144        -1194.588797               -7.828931               -5.831302             0.158861             0.137600               0.145816               2.742144                   3.771021                      6.513165                   0.851170                0.814478              4.856991             5.025929               4.958577               0.168938              4.921404          9.109742       16.560338        6.701122      11.814523           1.094940            
   Ce       58     88     146        -1205.953948               -8.503151               -5.579942             0.199530             0.178378               0.186409               3.486789                   5.093070                      8.579859                   0.793862                0.869897              4.886969             5.071344               4.998913               0.184375              4.950587          9.741510       17.915838        6.524763      11.365151           0.374511            
   Ce       58     90     148        -1216.767540               -9.284736               -5.370165             0.244463             0.219123               0.228586               4.334056                   6.518360                     10.852417                   0.747118                0.882792              4.922336             5.118574               5.042580               0.196238              4.985101         10.486253       19.474777        6.283140      10.813592          -0.429430            
   Ce       58     92     150        -1227.665841              -10.233371               -5.244327             0.293864             0.268208               0.277628               5.295442                   8.329665                     13.625107                   0.720174                0.886940              4.962598             5.172841               5.092576               0.210243              5.024462         11.554003       21.669893        6.334017      10.898301          -2.073078            
   Ce       58     94     152        -1237.869821              -11.007403               -4.901410             0.314050             0.290421               0.298948               5.719249                   9.367668                     15.086917                   0.710345                0.883920              4.988860             5.215341               5.130101               0.226481              5.050006         12.406077       23.415289        5.987420      10.203980          -3.573873            
   Ce       58     96     154        -1247.245265              -11.667799               -4.546986             0.323112             0.300568               0.308564               5.931811                  10.039686                     15.971496                   0.710024                0.875721              5.008965             5.251674               5.161604               0.242709              5.069474         13.050823       24.706615        5.567543       9.375444          -4.490733            
   Ce       58     98     156        -1256.002083              -12.262478               -4.214427             0.327986             0.305787               0.313527               6.064439                  10.562200                     16.626639                   0.709550                0.885046              5.026883             5.285666               5.190959               0.258783              5.086785         13.638568       25.877661        5.258793       8.756818          -5.163433            
   Ce       58     100    158        -1264.118124              -12.815049               -3.874082             0.331075             0.308408               0.316179               6.163675                  11.005327                     17.169002                   0.707769                0.895724              5.044149             5.318435               5.219422               0.274286              5.103456         14.177156       26.953790        4.948406       8.116041          -5.693702            
   Ce       58     102    160        -1271.466141              -13.337201               -3.515069             0.332903             0.309111               0.317133               6.239002                  11.387069                     17.626071                   0.703467                0.898156              5.060926             5.350493               5.247372               0.289567              5.119648         14.671316       27.944600        4.570948       7.348017          -6.001807            
   Ce       58     104    162        -1277.993421              -13.828482               -3.166789             0.332653             0.307975               0.316158               6.272490                  11.705180                     17.977670                   0.697869                0.895102              5.076397             5.382201               5.274753               0.305804              5.134552         15.115899       28.837797        4.160269       6.527280          -6.171880            
   Ce       58     106    164        -1283.817158              -14.267106               -2.871985             0.324260             0.298888               0.307160               6.139756                  11.697947                     17.837703                   0.694262                0.900388              5.086978             5.409945               5.297976               0.322967              5.144625         15.494680       29.590197        3.809614       5.823737          -6.361534            
   Ce       58     108    166        -1289.146643              -14.631534               -2.679493             0.299719             0.272459               0.281200               5.680163                  10.939222                     16.619385                   0.687382                0.912824              5.089259             5.428452               5.312401               0.339193              5.146491         15.789296       30.173852        3.571349       5.329485          -6.619682            
   Ce       58     110    168        -1294.356795              -15.013290               -2.551028             0.270109             0.243026               0.251567               5.121815                  10.003839                     15.125654                   0.681284                0.926263              5.090650             5.446348               5.326233               0.355698              5.147478         16.165643       30.927993        3.524619       5.210152          -7.084004            
   Ce       58     112    170        -1299.430380              -15.442112               -2.391520             0.246125             0.219128               0.227504               4.675806                   9.255442                     13.931248                   0.683801                0.934153              5.095433             5.467454               5.343441               0.372021              5.151820         16.632684       31.863834        3.467001       5.073585          -7.701578            
   Ce       58     114    172        -1304.083963              -15.865595               -2.214259             0.225196             0.195842               0.204803               4.288546                   8.488059                     12.776606                   0.688256                0.927849              5.101592             5.489635               5.361922               0.388043              5.157523         17.096051       32.798256        3.257793       4.653583          -8.217417            
   Ce       58     116    174        -1308.283094              -16.260432               -2.090229             0.201957             0.168266               0.178387               3.855007                   7.480006                     11.335013                   0.695354                0.909793              5.107570             5.511492               5.380222               0.403922              5.163049         17.499425       33.612607        3.018386       4.199131          -8.697387            
   Ce       58     118    176        -1312.339899              -16.630217               -2.068308             0.173788             0.136032               0.147199               3.325772                   6.198078                      9.523850                   0.708935                0.900710              5.114080             5.532378               5.398112               0.418298              5.169102         17.876687       34.357916        2.933654       4.056805          -9.369412            
   Ce       58     120    178        -1316.517227              -17.013909               -2.103859             0.139396             0.100917               0.112130               2.675879                   4.710540                      7.386419                   0.733305                0.894883              5.122003             5.552729               5.416144               0.430726              5.176554         18.265897       35.093103        2.986461       4.177328         -10.235244            
   Ce       58     122    180        -1320.782938              -17.479851               -2.208732             0.075498             0.050855               0.057937               1.454212                   2.428961                      3.883173                   0.771264                0.903896              5.130697             5.570668               5.432792               0.439971              5.184770         18.706406       35.893208        3.032245       4.265711         -11.058814            
   Ce       58     124    182        -1325.799431              -17.984305               -1.946096             0.000000             0.000000               0.000000               0.000003                   0.000005                      0.000007                   0.785374                0.929815              5.144335             5.592171               5.453448               0.447836              5.197881         19.260439       36.968961        3.425102       5.016493         -12.609701            
   Ce       58     126    184        -1329.564997              -18.431310               -1.028500             0.000000             0.000000               0.000000               0.000002                   0.000004                      0.000006                   0.773675                1.046235              5.158728             5.617807               5.477252               0.459079              5.211742         19.734191       37.935642        2.870808       3.765566         -12.434527            
   Ce       58     128    186        -1329.708204              -18.804651               -0.025976             0.000000             0.000000               0.000000               0.000004                   0.000008                      0.000012                   0.770993                0.692019              5.169975             5.650424               5.505108               0.480449              5.222492         20.050526       38.577620        0.940730       0.143207          -9.778849            
   Nd       60     62     122         -971.126336                0.615888              -13.236111             0.389838             0.384031               0.386931               6.935496                   6.848660                     13.784156                   0.856743                0.931479              4.848038             4.774951               4.811034              -0.073087              4.917876          0.994774        0.299333       14.538949      27.163673           2.374049            
   Nd       60     64     124         -996.559144               -0.140466              -12.497020             0.387016             0.379269               0.383060               6.910571                   7.069731                     13.980302                   0.844292                0.923194              4.856928             4.804879               4.830134              -0.052049              4.926247          1.704781        1.731720       13.643740      25.432808           2.567859            
   Nd       60     66     126        -1020.738583               -0.876344              -11.884908             0.378355             0.367275               0.372589               6.774515                   7.135278                     13.909793                   0.834751                0.932799              4.863609             4.830397               4.846240              -0.033212              4.932442          2.372989        3.076890       13.017716      24.179439           2.388841            
   Nd       60     68     128        -1043.830611               -1.587589              -11.311386             0.366935             0.353366               0.359746               6.585369                   7.145233                     13.730602                   0.826687                0.943726              4.869282             4.854966               4.861682              -0.014316              4.937644          2.988948        4.316806       12.484277      23.092028           2.131082            
   Nd       60     70     130        -1065.781104               -2.260940              -10.724227             0.353639             0.338884               0.345686               6.357714                   7.123248                     13.480963                   0.822511                0.945319              4.873484             4.878762               4.876327               0.005278              4.941396          3.562540        5.475513       11.919769      21.950493           2.032701            
   Nd       60     72     132        -1086.455181               -2.838958              -10.165599             0.326659             0.308091               0.316488               5.862531                   6.697268                     12.559799                   0.810532                0.953963              4.869277             4.892019               4.881695               0.022742              4.936855          4.056298        6.483127       11.286679      20.674077           2.150410            
   Nd       60     74     134        -1106.116412               -3.213344               -9.956948             0.245240             0.225046               0.234002               4.354218                   5.014153                      9.368371                   0.837712                0.928271              4.843157             4.885306               4.866479               0.042149              4.910701          4.443223        7.215170       10.771733      19.661231           2.155642            
   Nd       60     76     136        -1125.914281               -3.738595               -9.801765             0.195412             0.172793               0.182636               3.462385                   3.974118                      7.436504                   0.880320                0.903178              4.838174             4.897733               4.871547               0.059559              4.905392          5.035794        8.324891       10.814659      19.797869           1.286961            
   Nd       60     78     138        -1145.508207               -4.329938               -9.578725             0.150240             0.125464               0.136047               2.661381                   2.980778                      5.642160                   0.931862                0.887712              4.837610             4.913626               4.880721               0.076016              4.904441          5.708792        9.581270       10.692408      19.593926           0.381183            
   Nd       60     80     140        -1164.526317               -5.038073               -9.419966             0.058625             0.045490               0.050996               1.037151                   1.114960                      2.152111                   1.007545                0.900759              4.834484             4.928025               4.888155               0.093541              4.900963          6.452430       10.922226       10.403290      19.018110          -0.299380            
   Nd       60     82     142        -1183.109481               -5.709659               -7.909416             0.000000             0.000000               0.000000              -0.000003                  -0.000003                     -0.000007                   1.012917                1.232075              4.844262             4.953556               4.907672               0.109294              4.910214          7.209165       12.406270       10.357999      18.583164          -1.205390            
   Nd       60     84     144        -1196.190959               -6.286941               -6.475886             0.077888             0.063208               0.069141               1.392794                   1.666136                      3.058930                   0.966055                0.770181              4.860469             4.987418               4.934920               0.126949              4.925811          7.657589       13.416685        7.541867      13.081478           2.812252            
   Nd       60     86     146        -1209.020333               -6.807055               -6.453976             0.159065             0.138515               0.146675               2.881229                   3.809647                      6.690876                   0.886599                0.816002              4.891823             5.034880               4.976587               0.143057              4.956362          8.084652       14.431536        7.207778      12.829374           2.053941            
   Nd       60     88     148        -1221.763950               -7.490452               -6.313330             0.218102             0.190611               0.201351               4.011026                   5.467768                      9.478794                   0.813631                0.875789              4.929098             5.083169               5.021277               0.154071              4.992767          8.708748       15.810002        7.217704      12.743617           1.124847            
   Nd       60     90     150        -1234.521087               -8.319595               -6.299171             0.294029             0.255973               0.270618               5.522642                   7.686132                     13.208773                   0.745038                0.893975              4.981356             5.142571               5.078699               0.161215              5.043982          9.622852       17.753547        7.263451      12.757137          -0.267139            
   Nd       60     92     152        -1247.235070               -9.062685               -6.008132             0.330605             0.294444               0.308126               6.298759                   9.217252                     15.516011                   0.748465                0.899426              5.016976             5.193381               5.124473               0.176405              5.078782         10.518934       19.569229        7.253692      12.713983          -2.167530            
