 Symbol     Z      N      A               be           Fermi_Energy_P_(MeV)    Fermi_Energy_N_(MeV)    Quad_Def_Beta2_P     Quad_Def_Beta2_N     Quad_Def_Beta2_total   Quad_Moment_Q2_P_(fm^2)    Quad_Moment_Q2_N_(fm^2)    Quad_Moment_Q2_total_(fm^2)     Pairing_gap_P_(MeV)     Pairing_gap_N_(MeV)   RMS_radius_P_(fm)    RMS_radius_N_(fm)    RMS_radius_total_(fm)    Neutron_skin_(fm)    Charge_Radius_(fm)     S_p_(MeV)      S_{2p}_(MeV)     S_n_(MeV)     S_{2n}_(MeV)     Q_{alpha}_(MeV)       
   Ne       10     8      18          -134.683069               -2.835332              -14.330672            -0.000001            -0.000001              -0.000001              -0.000001                   0.000000                     -0.000002                   1.894694                2.775170              2.870858             2.673791               2.784995              -0.197067              2.991813          5.957500        7.314833       19.928544      34.330922          -5.299056            
   Ne       10     10     20          -157.258948               -6.552668              -10.526888             0.173602             0.168598               0.171126               0.178792                   0.170178                      0.348969                   1.902856                2.006522              2.857200             2.828586               2.842929              -0.028614              2.974810          9.940866       15.295402       13.678786      22.575879          -1.590712            
   Ne       10     12     22          -176.545882              -10.074920               -8.628543             0.248226             0.236127               0.241432               0.257592                   0.313792                      0.571384                   1.884055                1.993659              2.868056             2.962799               2.920115               0.094743              2.981346         13.660152       22.799549       11.643557      19.286934          -6.282336            
   Ne       10     14     24          -191.732065              -12.695195               -7.051813            -0.000009            -0.000007              -0.000008              -0.000009                  -0.000011                     -0.000020                   1.756509                1.934702              2.842539             3.041927               2.960481               0.199388              2.952878         16.091569       27.876193        9.557272      15.186183          -9.685732            
   Ne       10     16     26          -203.806544              -15.293174               -4.759682            -0.000003            -0.000002              -0.000002              -0.000003                  -0.000003                     -0.000007                   1.677514                1.892406              2.865589             3.174939               3.059662               0.309350              2.971168         18.516251       32.876066        7.950794      12.074479         -11.650672            
   Ne       10     18     28          -210.888961              -17.632639               -2.977855            -0.000002            -0.000001              -0.000001              -0.000002                  -0.000002                     -0.000005                   1.647773                1.637816              2.905463             3.311727               3.172610               0.406264              3.005784         20.766369       37.412321        5.306319       7.082417         -11.658483            
   Ne       10     20     30          -215.274833              -19.800621               -1.469589            -0.000002            -0.000001              -0.000001              -0.000002                  -0.000002                     -0.000004                   1.612916                1.768376              2.946080             3.429672               3.276415               0.483592              3.041248         22.906811       41.752447        3.896032       4.385872         -13.498193            
   Ne       10     22     32          -216.165546              -21.785493               -0.522279             0.164720             0.120750               0.131382               0.185691                   0.426847                      0.612537                   1.593271                1.508813              2.989276             3.568827               3.398351               0.579551              3.079343         24.646174       45.271065        2.083951       0.890713         -14.343160            
   Ne       10     24     34          -217.508902              -23.911429               -0.236976             0.313546             0.249620               0.263635               0.368374                   1.044450                      1.412823                   1.602125                1.487219              3.051675             3.717434               3.534664               0.665759              3.136253         26.930721       49.865440        2.169694       1.343356         -18.314421            
   Mg       12     8      20          -138.040050               -0.972234              -17.660897            -0.000003            -0.000001              -0.000002              -0.000004                  -0.000001                     -0.000005                   1.891070                2.689661              3.033852             2.689188               2.900905              -0.344664              3.151009          3.571372        3.356981       23.220566      41.088068          -9.387903            
