rmin[km]	rmax[km]	DRlayer[km]	DRlayer_DRcr	zlayer[km]	zlayer_zdrip	Mblayer[solarmass]	Mblayer_Mbcr	Mlayer[solarmass]	Mlayer_Mcr	DNlayer	DNlayer_DN
12.496	12.500	3.955e-03	8.314e-03	0.005	8.275e-03	3.857e-08	2.746e-04	3.155e-08	2.765e-04	4.579e+49	2.746e-04
12.452	12.496	4.355e-02	9.157e-02	0.058	9.947e-02	1.482e-06	1.055e-02	1.211e-06	1.061e-02	1.759e+51	1.055e-02
12.421	12.452	3.172e-02	6.669e-02	0.097	1.660e-01	2.256e-06	1.606e-02	1.843e-06	1.615e-02	2.679e+51	1.606e-02
12.369	12.421	5.180e-02	1.089e-01	0.161	2.748e-01	5.857e-06	4.170e-02	4.781e-06	4.189e-02	6.954e+51	4.170e-02
12.311	12.369	5.762e-02	1.211e-01	0.231	3.959e-01	9.862e-06	7.022e-02	8.042e-06	7.046e-02	1.171e+52	7.022e-02
12.270	12.311	4.080e-02	8.579e-02	0.282	4.819e-01	9.347e-06	6.655e-02	7.614e-06	6.671e-02	1.110e+52	6.655e-02
12.218	12.270	5.188e-02	1.091e-01	0.346	5.914e-01	1.505e-05	1.072e-01	1.225e-05	1.073e-01	1.787e+52	1.072e-01
12.169	12.218	4.879e-02	1.026e-01	0.406	6.945e-01	1.792e-05	1.276e-01	1.457e-05	1.276e-01	2.127e+52	1.276e-01
12.140	12.169	2.854e-02	6.001e-02	0.441	7.551e-01	1.223e-05	8.704e-02	9.931e-06	8.701e-02	1.451e+52	8.704e-02
12.111	12.140	2.904e-02	6.106e-02	0.477	8.169e-01	1.398e-05	9.955e-02	1.135e-05	9.945e-02	1.660e+52	9.955e-02
12.074	12.111	3.669e-02	7.715e-02	0.523	8.948e-01	2.003e-05	1.426e-01	1.625e-05	1.424e-01	2.378e+52	1.426e-01
12.074	12.074	2.606e-04	5.478e-04	0.523	8.959e-01	1.520e-07	1.082e-03	1.233e-07	1.080e-03	1.805e+50	1.082e-03
12.050	12.073	2.308e-02	4.852e-02	0.552	9.452e-01	1.415e-05	1.007e-01	1.147e-05	1.005e-01	1.680e+52	1.007e-01
12.029	12.050	2.098e-02	4.411e-02	0.578	9.901e-01	1.384e-05	9.856e-02	1.122e-05	9.828e-02	1.643e+52	9.856e-02
12.024	12.029	4.415e-03	9.282e-03	0.584	1.000e+00	3.108e-06	2.212e-02	2.517e-06	2.206e-02	3.689e+51	2.212e-02
